"l","run","baby","a","this_entropy","this_meandist"
"2","8","340","3","5.36595983757237","3.37100391497823"
"2","8","344","9","4.87020986936859","3.08965277763126"
"2","8","437","18","5.4251087251513","2.99141370823823"
"2","8","833","18","5.60702519514935","2.97786389183275"
"2","8","857","3","5.27078656412791","3.16571521624229"
"2","9","54","6","5.39250383457181","3.42425878396977"
"2","9","196","9","5.46812798906062","2.95003301925357"
"2","9","204","6","5.6586717722658","3.21341713535526"
"2","9","274","3","4.69197240235998","3.20074052322821"
"2","9","300","6","4.71612416721297","3.06722385114695"
"2","9","340","3","5.32420409302836","3.42188168842712"
"2","9","344","9","4.95241668742339","2.82689150565204"
"2","9","437","18","5.2940329603859","2.96340486986052"
"2","9","833","18","5.43841034345332","2.75255221093781"
"2","9","857","3","5.21337579251337","3.15768104750632"
"2","10","54","6","5.16561925801308","3.39914173286624"
"2","10","196","9","5.44619724577091","3.06336569340589"
"2","10","204","6","5.59272961099907","3.42182742826412"
"2","10","274","3","4.65483360287684","2.94980004295502"
"2","10","300","6","5.31825970301261","3.35044980119119"
"2","10","340","3","5.13504953851181","3.38255210019914"
"2","10","344","9","4.7304493741948","2.95087836578386"
"2","10","437","18","5.40070306422213","3.01490200903002"
"2","10","833","18","5.55522388619429","2.93754978682805"
"2","10","857","3","5.31064900169078","3.30462398922023"
"3","1","54","6","5.45343257844677","3.32579722307807"
"3","1","196","9","5.43205174112643","2.92123677708614"
"3","1","204","6","5.72431405182343","3.41206008878326"
"3","1","274","3","4.59686582507576","3.20231694342812"
"3","1","300","6","5.50250536974521","3.18480016339712"
"3","1","340","3","5.37961325515605","3.53680094874648"
"3","1","344","9","4.83278228691279","2.98053695118749"
"3","1","437","18","5.44226681948969","2.94327169533059"
"3","1","833","18","5.557562533933","2.892514167085"
"3","1","857","3","5.13930645843881","3.03071871554749"
"3","2","54","6","5.45817404749208","3.3589616161"
"3","2","196","9","5.53688078208831","3.11378386241736"
"3","2","204","6","5.76449909108768","3.52630536077499"
"3","2","274","3","4.79165410225335","3.3196085278037"
"3","2","300","6","5.46554961911135","3.39309252386766"
"3","2","340","3","5.26346126273664","3.44147427545395"
"3","2","344","9","4.9720476953844","2.86080455108496"
"3","2","437","18","5.58395872976555","3.30873419999303"
"3","2","833","18","5.57124937706668","3.06858763867439"
"3","2","857","3","5.48940707341665","3.16316481125526"
"3","3","54","6","5.39649509190118","3.60272561532868"
"3","3","196","9","5.32365833263777","3.0395048797687"
"3","3","204","6","5.70882687117969","3.50169435294209"
"3","3","274","3","4.60653195771198","2.96517746849336"
"3","3","300","6","5.07336225429216","3.64070469323288"
"3","3","340","3","5.36269543198247","3.31696201934594"
"3","3","344","9","4.75649372504426","2.72227013652882"
"3","3","437","18","5.46699785685327","3.21901453352972"
"3","3","833","18","5.39202508363292","2.89661640055909"
"3","3","857","3","5.10088775110811","3.2056960801881"
"3","4","54","6","5.50578824954368","3.50166816859426"
"3","4","196","9","5.44118742216199","2.99120897638761"
"3","4","204","6","5.8500813679562","3.40893475321341"
"3","4","274","3","4.72581598307095","3.07380229982062"
"3","4","300","6","5.45463511245794","3.35684337285805"
"3","4","340","3","5.49261193720334","3.66380458232673"
"3","4","344","9","4.96403324122661","3.11200377572082"
"3","4","437","18","5.43627489166286","2.96641613637235"
"3","4","833","18","5.49321718525454","2.89410840295205"
"3","4","857","3","5.43418171462167","3.262629754609"
"3","5","54","6","5.52553114243271","3.47450878333352"
"3","5","196","9","5.28978107316136","3.03008490794092"
"3","5","204","6","5.69717015747062","3.5507275121695"
"3","5","274","3","4.65188756726482","3.14527502772362"
"3","5","300","6","5.05478086473859","3.22514941760324"
"3","5","340","3","5.21499639694292","3.58983331448078"
"3","5","344","9","4.83762413534964","2.7310976515255"
"3","5","437","18","5.41201968895109","3.19234458996622"
"3","5","833","18","5.33551029037997","3.08447202573857"
"3","5","857","3","5.22323776457974","3.12967822835945"
"3","6","54","6","5.43479814876999","3.45875808577381"
"3","6","196","9","5.42165873853896","3.06781774727781"
"3","6","204","6","5.70167164665764","3.54421908214467"
"3","6","274","3","4.65162466648641","2.8739372867294"
"3","6","300","6","4.85873791695077","3.3620706547072"
"3","6","340","3","5.34868124079792","3.19490445670218"
"3","6","344","9","4.76043916404352","2.70523118240189"
"3","6","437","18","5.43409432944357","3.351034824641"
"3","6","833","18","5.53323576126554","2.86392797790847"
"3","6","857","3","5.14926225585677","3.04410209086916"
"3","7","54","6","5.48423793780464","3.38443822439389"
"3","7","196","9","5.27990293810673","2.98950886192116"
"3","7","204","6","5.53813745142467","3.33763112543305"
"3","7","274","3","4.687919499489","2.97761955136189"
"3","7","300","6","5.29271737208321","3.18903855617481"
"3","7","340","3","5.38080622785365","3.21066504243918"
"3","7","344","9","4.89781258474411","2.84872150224185"
"3","7","437","18","5.40522063758267","3.2186230262006"
"3","7","833","18","5.36313596099432","2.87408028790309"
"3","7","857","3","5.23455829734785","3.04281543171453"
"3","8","54","6","5.55216514439138","3.58344612125114"
"3","8","196","9","5.28527609658991","3.03249419404589"
"3","8","204","6","5.61384140993553","3.42485466145774"
"3","8","274","3","4.70015776263108","2.8938634907496"
"3","8","300","6","4.94770542865723","3.264915478046"
"3","8","340","3","5.34329422183225","3.52247432057591"
"3","8","344","9","4.97235170799396","2.85965898967617"
"3","8","437","18","5.55163669150126","3.2982956919535"
