baby,file1,file2,score
344,344_283_29836.84_29838.28.wav,344_283_30042.66_30043.26.wav,1
344,344_283_7722.25_7724.42.wav,344_283_8221.01_8221.79.wav,3
344,344_283_13266.03_13266.85.wav,344_283_13323.61_13324.32.wav,1
340,340_91_32247.58_32248.58.wav,340_91_32249.86_32250.46.wav,2
437,437_548_41578.62_41580.18.wav,437_548_41808.32_41809.02.wav,2
196,196_272_40909.83_40910.43.wav,196_272_40998.91_40999.51.wav,2
274,274_81_66.92_67.52.wav,274_81_69.85_70.45.wav,2
833,833_551_4727.01_4727.61.wav,833_551_4733.17_4733.77.wav,3
344,344_283_36593.96_36594.56.wav,344_283_36676.13_36676.77.wav,2
274,274_81_14311.88_14315.03.wav,274_81_14414.37_14416.2.wav,1
274,274_81_66.92_67.52.wav,274_81_69.85_70.45.wav,2
857,857_91_9348.37_9349.53.wav,857_91_9356.26_9357.03.wav,1
204,204_189_29433.51_29434.24.wav,204_189_29493.36_29493.97.wav,3
437,437_548_32910.12_32911.64.wav,437_548_32912.52_32913.13.wav,3
54,54_183_10769.01_10771.28.wav,54_183_10772.18_10772.78.wav,2
344,344_283_9519.71_9522.22.wav,344_283_9626.05_9626.65.wav,1
54,54_183_40643.6_40645.46.wav,54_183_40647.31_40653.47.wav,1
274,274_81_27646.05_27647.56.wav,274_81_28139.71_28140.99.wav,3
437,437_548_33670.16_33671.43.wav,437_548_33683.64_33684.28.wav,1
437,437_548_30072.12_30073.64.wav,437_548_30096.89_30097.51.wav,3
340,340_91_143.77_145.16.wav,340_91_150.8_153.16.wav,3
344,344_283_14380.82_14381.45.wav,344_283_14423.6_14425.3.wav,2
857,857_91_54999.83_55000.66.wav,857_91_55000.66_55001.33.wav,1
344,344_283_27871.88_27872.9.wav,344_283_28079.68_28080.28.wav,2
300,300_187_6683.91_6687.99.wav,300_187_6698.91_6699.51.wav,1
196,196_272_28952.69_28953.36.wav,196_272_28954.47_28955.24.wav,1
196,196_272_23339.31_23339.91.wav,196_272_23356.06_23356.99.wav,2
340,340_91_38661.2_38662.14.wav,340_91_38663.23_38665.15.wav,1
857,857_91_22598.91_22599.51.wav,857_91_22603.54_22604.17.wav,1
204,204_189_3608.97_3609.57.wav,204_189_3623.63_3625.66.wav,2
54,54_183_7747.42_7748.02.wav,54_183_7838.9_7839.5.wav,1
437,437_548_5003.73_5004.44.wav,437_548_5005.25_5006.26.wav,2
857,857_91_43339.86_43340.57.wav,857_91_43421.87_43422.47.wav,3
204,204_189_44878.97_44879.79.wav,204_189_44958_44960.55.wav,3
340,340_91_13724.41_13727.68.wav,340_91_13728.48_13732.91.wav,1
196,196_272_3757.28_3758.14.wav,196_272_3940.26_3940.86.wav,3
340,340_91_13672.44_13675.13.wav,340_91_13675.96_13677.48.wav,1
833,833_551_10035.4_10036.15.wav,833_551_10090.27_10091.07.wav,3
340,340_91_23077.84_23078.44.wav,340_91_23177.98_23178.62.wav,2
274,274_81_31324.02_31324.62.wav,274_81_31374.87_31375.47.wav,2
274,274_81_28371.22_28371.89.wav,274_81_28379.74_28380.78.wav,2
833,833_551_10904.2_10907.3.wav,833_551_10933_10933.6.wav,3
833,833_551_13526.99_13527.62.wav,833_551_13549.17_13549.78.wav,1
196,196_272_25030.74_25031.62.wav,196_272_25130.12_25130.76.wav,2
340,340_91_961.18_962.34.wav,340_91_969.56_970.52.wav,1
340,340_91_14030.14_14031.27.wav,340_91_14032.51_14035.34.wav,2
54,54_183_10473.51_10474.37.wav,54_183_10475.21_10476.22.wav,1
274,274_81_1826.16_1826.77.wav,274_81_3438.75_3439.35.wav,1
204,204_189_14669.54_14672.2.wav,204_189_14685.03_14685.68.wav,2
833,833_551_16485.5_16486.1.wav,833_551_16506.06_16506.7.wav,1
344,344_283_29392.29_29392.89.wav,344_283_29491.38_29492.2.wav,2
833,833_551_6158.13_6158.75.wav,833_551_6162.4_6163.07.wav,1
54,54_183_5731.4_5733.82.wav,54_183_5733.82_5734.62.wav,2
344,344_283_23516.82_23517.64.wav,344_283_23519.55_23520.15.wav,2
196,196_272_1358.95_1359.8.wav,196_272_1615.62_1616.22.wav,3
274,274_81_14311.88_14315.03.wav,274_81_14414.37_14416.2.wav,1
274,274_81_69.85_70.45.wav,274_81_92.72_93.48.wav,2
344,344_283_27570.97_27571.63.wav,344_283_27575.05_27576.3.wav,1
274,274_81_28232.92_28234.41.wav,274_81_28238_28238.61.wav,2
833,833_551_32888.5_32889.66.wav,833_551_32902.42_32903.16.wav,2
857,857_91_54583.07_54583.96.wav,857_91_54589.44_54590.49.wav,1
437,437_548_27215.6_27217.66.wav,437_548_27244.47_27245.12.wav,2
340,340_91_37243.77_37249.44.wav,340_91_37259.7_37262.34.wav,1
340,340_91_2176.49_2177.35.wav,340_91_2179.59_2180.52.wav,1
54,54_183_29820.45_29821.25.wav,54_183_29821.25_29824.89.wav,2
344,344_283_19425.85_19426.46.wav,344_283_19427.28_19427.88.wav,1
196,196_272_22910.71_22912.53.wav,196_272_22915.3_22916.56.wav,2
54,54_183_10275.4_10276.wav,54_183_10289.99_10290.99.wav,1
437,437_548_27308.45_27309.05.wav,437_548_27311.63_27312.23.wav,2
54,54_183_28803_28803.6.wav,54_183_28855.23_28862.19.wav,2
300,300_187_4936.69_4937.29.wav,300_187_4938.22_4939.62.wav,1
