file1,file2,score
340_91_13767.99_13768.59.wav,204_189_44008.29_44008.89.wav,3
833_551_1891.44_1892.08.wav,204_189_46405.88_46406.54.wav,5
204_189_3626.46_3627.48.wav,54_183_5582.93_5583.62.wav,3
344_283_14423.6_14425.3.wav,204_189_1631.68_1632.28.wav,3
54_183_10733.66_10734.26.wav,437_548_29439.96_29440.56.wav,2
833_551_21026.5_21027.47.wav,833_551_28417.56_28418.19.wav,4
857_91_62.73_63.33.wav,54_183_29885.29_29894.11.wav,4
833_551_1859.39_1859.99.wav,833_551_15853.4_15854.wav,2
344_283_27588.14_27588.74.wav,833_551_28659.49_28660.65.wav,4
54_183_14465.67_14466.52.wav,833_551_16180.71_16181.31.wav,2
54_183_7838.9_7839.5.wav,437_548_11553.15_11553.88.wav,5
54_183_40654.27_40654.87.wav,340_91_31909.6_31912.04.wav,5
