"","wavFile","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"11","437_548_11573.15_11574.13.wav","9343.35260806116","-1630.4225680964","-755.138655209581","-346.517556271466","361.455836681832","362.720708398624","-590.130996906197","-713.862440257511","-5.15821089402843","1417.23356832221","-1334.85804562027","-149.880012028551","-96167.9552812142","-92346.4495047241","-83355.7186497908","-64926.4299632953","-33605.1093110272","12754.289277061","1162.56456833043","-1608.3929640753","-2941.50364497147","-931.384905344086","1596.39404157766","-127.484817597529","373421.938873842","698672.803410923","868634.524554807","930181.895719524","891837.261843516","768306.651289776","578758.115030303","333324.874062494","96809.8426949689","-47897.5305569133","5714.46463821587","14249.6103843508"
"12","437_548_11681.94_11682.88.wav","7375.87179855421","-863.76469153973","-802.83709141223","-205.093102166228","-542.813467786665","-113.312471109806","-243.868088802552","-393.218974086993","-1147.61060908054","-171.659782657105","-409.266284700974","476.672535046793","-79014.6900375516","-77053.431569086","-68125.2113017274","-52174.6546881497","-31472.573841905","1656.79271766813","185.082399807454","2107.26695473657","5738.66182943668","6999.68923882157","9388.73562875731","10535.0189240727","294428.786770906","529881.829042447","678776.547287325","756160.23131456","766947.537848308","698025.602152607","562451.765082604","389661.995332813","217964.778425109","87068.292136407","79811.0458795927","56317.0218270704"
"13","437_548_11682.88_11683.9.wav","7599.41050228777","-905.345380592038","-919.590988399979","-262.170797703235","-504.048168324323","-186.755848223045","-411.307684945832","-39.9964409436005","-1164.19985686722","-94.5286889228444","-469.783751926332","-391.865433246841","-81541.3374466767","-79697.2055045492","-70965.1145588022","-52737.0604498126","-31366.4130612862","3046.5293581728","1128.61130242941","-984.423146301436","-338.082196701699","-771.433464663804","269.494132803005","392.772131679675","310109.10625003","557061.017257172","711753.38923649","775323.674671779","760922.409605092","663584.484216581","498861.024946562","298324.432763432","117570.224434769","-9460.57953275491","3814.14340405052","10153.0332886322"
"14","437_548_13923.07_13923.67.wav","4941.91126258086","-79.8745361408153","-489.161975461717","-321.71971967628","-46.2386847935767","-54.2473102217387","-259.971210428544","165.878190639045","-194.03385995919","-222.058190748005","-311.746178456648","-126.472430869272","-51627.425011076","-50907.4193358905","-46014.1506887297","-34215.6019642892","-19080.6683702997","1078.1130230745","933.182925334663","-285.217736344358","-1029.09666368863","-590.817705426406","-112.348128229291","-590.272931418668","194369.050023343","348899.34247485","450144.376501248","493955.199944518","483448.30040368","424096.188348504","319221.375672393","186106.135811668","66559.7618158347","-10937.273242922","-6130.79677368863","-380.584838661258"
"15","437_548_14317.09_14317.69.wav","2995.30368864165","-268.948365636909","-41.6501378300957","-227.425043696116","-384.073257538452","-143.79975838988","-153.48954245723","-109.340738516479","-407.293428563959","-15.6163811637005","-342.547336580542","-21.94857424212","-32523.8536889558","-32176.9559178137","-28729.7138359096","-21957.0833071435","-13271.6191114092","383.150391131736","-580.144129582149","949.046509035346","1529.66105473476","1121.55806176851","1552.69788124878","1813.53759624454","116644.426932858","214312.400669661","275220.192243521","310301.036812477","314231.43936624","282475.915204447","220534.027425561","143142.055117116","69069.9840203483","14654.6129988636","13427.9327824299","5954.39275731391"
"16","437_548_14318.49_14319.09.wav","3350.8212360134","-65.95478260524","-52.0812560165445","-434.207306132547","-442.974896255975","-355.701356500602","-448.813085067044","-318.24639478527","-207.175321574535","-76.2194169063382","-184.588479891622","-288.076696683651","-36752.8511581939","-37180.438343186","-34273.9498499299","-27045.5602744662","-15703.8187753609","-280.257099994883","1052.98888325653","2160.28332956968","1592.94296596993","835.634042304132","359.794617842881","-649.228109267527","117848.217614051","230930.956457015","312874.085174785","361440.551636357","368824.522155767","334833.462856349","259212.624733628","156547.905207717","56400.4118184626","-13434.7062404643","-21206.6065886545","-21943.3060113149"
"17","437_548_14408.53_14409.13.wav","4239.52603201482","-146.866774955724","-164.571129761207","-478.451072752381","-157.313030333986","29.7290734000436","-123.400890448152","148.93955043561","-227.828000849026","-216.520228357032","-71.7279127316739","22.0390715230426","-44935.8746942194","-43869.7563928159","-39206.3609881904","-29090.676897567","-16391.4765305028","820.308959393125","1135.34593730967","1661.79021599361","432.224578437429","307.859008697795","939.351855771285","812.884885480801","174238.331758285","306077.838404933","393421.309309636","436799.336697545","428661.436625016","374657.975000872","283267.342569122","169878.71103075","67049.2540718249","-2187.76283482773","-2570.21370798419","-1370.0556176456"
"18","437_548_14412.93_14414.01.wav","9102.59077240605","-887.34612804447","-928.449567893015","-659.299977180936","163.765357486104","396.785728109411","-420.190929454715","-5.67153189999998","-39.9137294308164","821.209386181153","-147.74975053036","-631.714615367161","-95092.9914894894","-91194.5182614194","-81858.1466193094","-61340.9156851196","-31852.3912367471","10223.1301759101","6754.51192569365","404.9206393731","-4895.6576459129","-6108.49461967749","-5360.74976747227","-7669.3878596111","384586.791392508","691725.283898744","879673.181738715","940375.21101822","884377.01502772","733330.137298583","515782.108248806","249847.616547077","12310.5207565978","-131455.480617527","-89026.8783055017","-46048.8492090375"
"19","437_548_14433.14_14433.79.wav","5703.03941234646","-800.455834348746","-534.87676904917","-140.762927605632","-77.4057622211383","137.859769406605","43.0375162366589","320.047599749689","-882.16622963388","236.487286926137","298.287444543498","118.599375107199","-59632.5153276131","-57527.574956762","-50236.7439556508","-36177.8707243777","-21544.8609980421","4147.96843651383","3037.07439348359","1436.58012031376","1153.17891020526","927.20122430639","1581.54605921791","1781.0400225791","243611.034242765","425689.958623654","539544.823068293","584328.120699158","566908.718041661","487799.71040275","361273.067405822","212889.434251914","82782.3832761419","-12118.5298149092","-1881.19675380159","5168.59450608946"
"20","437_548_14470.44_14471.05.wav","5173.8611752799","-565.258281211633","-510.936772406209","-453.821161366357","-248.720964685875","277.226916331023","-19.9210639035296","-191.708452927616","-477.754630941559","390.117573694664","127.691009210972","-88.0305448292325","-55682.0909216657","-52794.4460766715","-46198.7588936667","-35096.4390275748","-19772.7342453311","4674.07516167895","4159.32462988178","2360.34613552829","424.03946879709","-852.556831068833","339.895854293097","411.866099642518","227248.691288603","399807.370178563","509950.88085799","553057.062008455","530375.579434801","446481.581271221","326966.083983462","187582.561661161","57100.0136760105","-32272.3155251392","-19595.1980362122","-5229.62414423471"
