"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_1_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"407",1,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",5746.26,5749.37
"408",1,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",5750.17,5759.85
"409",1,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",5760.65,5763.06
"410",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5764.88,5773.78
"411",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5774.74,5779.34
"412",2,2,4,3,2,FALSE,"0054_000603_scrubbed.wav",5780.54,5791.18
"413",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5792.72,5797
"414",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5799.31,5801.3
"415",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5802.18,5808.67
"416",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5808.67,5809.47
"417",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5810.32,5812.75
"418",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5813.55,5816
"419",1,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",5818.53,5820.99
"420",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5822.97,5828.84
"421",1,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",5830.62,5833.33
"422",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5834.61,5837.97
"423",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5838.77,5852.59
"424",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5854.68,5866.39
"425",1,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",5867.19,5873.46
"426",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5874.45,5897.87
"427",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5897.87,5898.67
"428",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5898.67,5904.64
"429",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5906.15,5909.75
"430",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5910.75,5920.93
"431",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5921.73,5923.74
"432",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5924.56,5925.29
"433",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5926.09,5932.43
"434",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5934.75,5937.38
"435",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5938.59,5940.99
"436",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5941.84,5948.09
"437",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5949.07,5951.5
"438",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5952.55,5953.41
"439",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5954.28,5958.26
"440",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5959.21,5960.31
"441",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5961.11,5965.57
"442",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5967.23,5968.25
"443",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",5969.21,5970.88
"444",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",7663.77,7664.42
"445",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",7684.74,7685.34
"446",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",7747.42,7748.02
"447",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",7838.9,7839.5
"448",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",7872.82,7873.42
"449",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",7889.56,7890.58
"450",2,1,2,2,2,FALSE,"0054_000603_scrubbed.wav",7900.48,7901.08
"451",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",7903.83,7904.62
"452",3,2,3,3,3,FALSE,"0054_000603_scrubbed.wav",7922.77,7924.9
"453",2,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",7995.27,7995.87
"454",5,1,5,5,5,FALSE,"0054_000603_scrubbed.wav",8009.02,8009.62
"455",2,5,5,5,5,FALSE,"0054_000603_scrubbed.wav",8054.25,8054.87
"456",5,4,5,5,5,FALSE,"0054_000603_scrubbed.wav",8057.21,8057.81
"457",5,5,5,5,5,FALSE,"0054_000603_scrubbed.wav",8168.61,8169.21
"458",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8212.29,8213.35
"459",5,5,5,5,5,FALSE,"0054_000603_scrubbed.wav",8216.58,8217.72
"460",4,2,3,3,3,FALSE,"0054_000603_scrubbed.wav",8234.33,8234.93
"461",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8281.44,8282.5
"462",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8290.78,8291.38
"463",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8323.69,8324.29
"464",2,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",8327.19,8327.92
"465",5,5,5,5,5,FALSE,"0054_000603_scrubbed.wav",8351.39,8352.19
"466",3,3,4,3,3,FALSE,"0054_000603_scrubbed.wav",8364.02,8364.62
"467",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8365.42,8366.03
"468",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8367.57,8368.3
"469",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",8451.18,8451.81
"470",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8452.66,8453.52
"471",3,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",8454.32,8455.42
"472",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",8457.02,8457.62
"473",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8558.11,8558.78
"474",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8559.97,8560.58
"475",3,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8569.49,8570.09
"476",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8574.98,8575.87
"477",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8590.77,8591.37
"478",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8592.19,8593.96
"479",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8595.3,8596.29
"480",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8597.09,8597.82
"481",3,2,3,3,3,FALSE,"0054_000603_scrubbed.wav",8603.01,8603.73
"482",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",8604.64,8605.79
"483",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8607.15,8609.7
"484",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",8610.5,8611.25
