"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"116","0274_000221_scrubbed.wav",1219.56,1221.56,5,5,2,2,5,5,5,2,5,4,5,5,2,5,2,5,5,FALSE
"117","0274_000221_scrubbed.wav",1224.53,1225.38,5,3,2,2,5,3,3,4,5,2,5,5,3,5,2,5,5,FALSE
"118","0274_000221_scrubbed.wav",1229.03,1230.89,5,4,4,2,5,4,5,3,5,5,5,5,4,5,4,5,5,FALSE
"119","0274_000221_scrubbed.wav",1239.59,1240.19,5,2,2,2,5,5,5,5,5,4,5,5,2,5,5,5,5,FALSE
"120","0274_000221_scrubbed.wav",1248.68,1249.56,5,5,2,2,5,5,5,5,5,2,5,5,5,5,2,5,5,FALSE
"121","0274_000221_scrubbed.wav",1250.59,1251.38,5,5,2,2,5,5,5,5,5,2,5,5,5,5,2,5,5,FALSE
"122","0274_000221_scrubbed.wav",1253.9,1254.97,5,3,2,2,5,5,5,5,5,2,5,5,5,5,2,5,5,FALSE
"123","0274_000221_scrubbed.wav",1256.27,1257.49,5,5,3,3,5,5,5,5,5,2,5,5,5,5,5,5,5,FALSE
"124","0274_000221_scrubbed.wav",1259.2,1260.13,5,5,2,3,5,5,5,5,5,2,5,5,2,5,5,5,5,FALSE
"125","0274_000221_scrubbed.wav",1261.16,1261.77,5,3,1,2,5,5,5,5,5,2,5,5,2,5,5,5,5,FALSE
"126","0274_000221_scrubbed.wav",1262.77,1263.41,5,2,1,2,5,5,5,5,5,2,5,5,2,5,5,5,5,FALSE
