"","jvfs_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"317",2,2,2,2,FALSE
"318",2,3,2,2,FALSE
"319",2,3,2,2,FALSE
"320",2,2,2,2,FALSE
"321",2,2,2,2,FALSE
"322",3,3,2,3,FALSE
"323",5,5,5,5,FALSE
"324",3,3,2,3,FALSE
"325",2,2,2,2,FALSE
"326",2,2,1,2,FALSE
"327",4,4,3,4,FALSE
"328",2,2,2,2,FALSE
"329",5,5,5,5,FALSE
"330",2,2,2,2,FALSE
"331",5,5,5,5,FALSE
"332",5,5,5,5,FALSE
"333",2,2,2,2,FALSE
"334",3,2,2,2,FALSE
"335",2,3,2,2,FALSE
"336",2,2,1,2,FALSE
"337",2,2,1,2,FALSE
"338",2,2,1,2,FALSE
"339",2,2,1,2,FALSE
"340",2,2,2,2,FALSE
"341",2,2,2,2,FALSE
"342",2,2,1,2,FALSE
"343",2,2,2,2,FALSE
"344",2,2,1,2,FALSE
"345",3,2,2,2,FALSE
"346",2,2,1,2,FALSE
"347",4,3,2,2,FALSE
"348",3,3,2,3,FALSE
"349",3,3,2,3,FALSE
"350",2,2,1,2,FALSE
"351",2,1,1,1,TRUE
"352",5,5,5,5,FALSE
"353",5,2,5,5,FALSE
"354",5,4,5,5,FALSE
"355",5,4,4,4,FALSE
"356",2,3,2,2,FALSE
"357",2,3,2,2,FALSE
"358",2,2,1,2,FALSE
"359",2,2,1,2,FALSE
"360",2,2,1,2,FALSE
"361",2,2,2,2,FALSE
"362",2,3,1,1,TRUE
"363",2,2,1,2,FALSE
"364",2,2,1,2,FALSE
"365",2,2,1,2,FALSE
"366",2,2,1,2,FALSE
"367",2,2,1,2,FALSE
"368",2,2,1,2,FALSE
"369",2,3,2,2,FALSE
"370",2,3,2,2,FALSE
"371",2,3,2,2,FALSE
"372",2,2,2,2,FALSE
"373",2,3,2,2,FALSE
"374",2,2,2,2,FALSE
"375",2,2,2,2,FALSE
"376",2,2,2,2,FALSE
"377",2,2,2,2,FALSE
"378",2,2,1,2,FALSE
"379",2,3,1,1,TRUE
"380",2,2,2,2,FALSE
"381",2,2,2,2,FALSE
