"","jvfs_2_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"61",1,2,1,1,TRUE,"0344_000913.wav",9694.36,9695.86
"62",2,2,1,2,FALSE,"0344_000913.wav",9776.67,9777.65
"63",1,1,1,1,TRUE,"0344_000913.wav",9782.66,9783.84
"64",2,2,2,2,FALSE,"0344_000913.wav",9785.47,9786.18
"65",2,2,2,2,FALSE,"0344_000913.wav",9786.18,9787.29
"66",2,3,2,2,FALSE,"0344_000913.wav",9787.29,9787.91
"67",1,2,1,1,TRUE,"0344_000913.wav",9806.65,9807.62
"68",1,2,1,1,TRUE,"0344_000913.wav",9807.62,9808.75
"69",2,2,1,2,FALSE,"0344_000913.wav",9808.75,9809.35
"70",1,2,1,1,TRUE,"0344_000913.wav",9818.6,9819.83
"71",5,5,5,5,FALSE,"0344_000913.wav",9947.57,9948.17
"72",5,5,5,5,FALSE,"0344_000913.wav",9950.94,9951.6
"73",5,5,5,5,FALSE,"0344_000913.wav",9965.6,9966.2
"74",5,5,5,5,FALSE,"0344_000913.wav",9968.16,9968.76
"75",5,5,5,5,FALSE,"0344_000913.wav",9969.69,9970.35
"76",5,5,5,5,FALSE,"0344_000913.wav",9971.15,9973.14
"77",5,5,5,5,FALSE,"0344_000913.wav",9973.98,9974.6
"78",5,5,5,5,FALSE,"0344_000913.wav",10027.06,10027.7
"79",2,2,2,2,FALSE,"0344_000913.wav",10113.27,10114.88
"80",3,3,2,3,FALSE,"0344_000913.wav",10123.23,10124.07
"81",2,2,1,2,FALSE,"0344_000913.wav",10479.11,10480.29
"82",2,2,1,2,FALSE,"0344_000913.wav",10489.57,10490.84
"83",2,2,1,2,FALSE,"0344_000913.wav",10491.64,10492.6
"84",2,2,1,2,FALSE,"0344_000913.wav",10495.43,10496.29
"85",2,2,1,2,FALSE,"0344_000913.wav",10501.94,10502.75
"86",2,2,2,2,FALSE,"0344_000913.wav",10503.55,10505.66
"87",2,2,1,2,FALSE,"0344_000913.wav",10510.43,10513.15
"88",3,2,2,2,FALSE,"0344_000913.wav",10542.88,10544.13
"89",2,2,1,2,FALSE,"0344_000913.wav",10544.93,10545.53
"90",2,2,1,2,FALSE,"0344_000913.wav",10546.33,10546.93
"91",1,2,1,1,TRUE,"0344_000913.wav",10570.35,10571.03
"92",2,2,2,2,FALSE,"0344_000913.wav",10571.83,10572.43
"93",1,2,1,1,TRUE,"0344_000913.wav",10575.03,10575.89
"94",2,2,1,2,FALSE,"0344_000913.wav",10576.69,10577.29
"95",2,2,1,2,FALSE,"0344_000913.wav",10578.12,10578.73
"96",2,3,2,2,FALSE,"0344_000913.wav",10593.75,10594.89
"97",2,2,2,2,FALSE,"0344_000913.wav",10596.06,10596.71
"98",1,1,1,1,TRUE,"0344_000913.wav",10597.51,10599.9
"99",2,2,2,2,FALSE,"0344_000913.wav",10601.16,10603.29
"100",2,3,2,2,FALSE,"0344_000913.wav",10604.09,10604.69
"101",2,2,2,2,FALSE,"0344_000913.wav",10610.28,10614.82
"102",1,2,2,2,FALSE,"0344_000913.wav",10615.62,10617.03
"103",3,3,2,3,FALSE,"0344_000913.wav",10618.09,10618.7
"104",2,2,2,2,FALSE,"0344_000913.wav",10623.56,10628.71
"105",2,2,2,2,FALSE,"0344_000913.wav",10630.33,10631.29
"106",2,2,1,2,FALSE,"0344_000913.wav",10666.29,10667.03
"107",2,2,2,2,FALSE,"0344_000913.wav",10667.03,10667.83
"108",1,1,1,1,TRUE,"0344_000913.wav",10667.83,10668.43
"109",2,2,1,2,FALSE,"0344_000913.wav",10670.53,10674.11
"110",2,2,2,2,FALSE,"0344_000913.wav",10677.9,10679.24
"111",5,2,2,2,FALSE,"0344_000913.wav",10728.43,10729.37
"112",2,2,1,2,FALSE,"0344_000913.wav",10734.58,10735.18
"113",2,3,2,2,FALSE,"0344_000913.wav",10807.91,10808.51
"114",2,2,1,2,FALSE,"0344_000913.wav",10812.42,10813.56
"115",2,2,1,2,FALSE,"0344_000913.wav",10815.23,10815.83
"116",1,2,1,1,TRUE,"0344_000913.wav",10821.63,10823.23
"117",2,2,2,2,FALSE,"0344_000913.wav",10854.55,10855.18
"118",3,3,2,3,FALSE,"0344_000913.wav",10856.28,10856.91
"119",3,2,2,2,FALSE,"0344_000913.wav",10877.99,10878.62
"120",2,2,2,2,FALSE,"0344_000913.wav",10879.42,10881.28
"121",5,5,5,5,FALSE,"0344_000913.wav",10886.27,10886.87
"122",5,5,5,5,FALSE,"0344_000913.wav",10887.71,10889.46
"123",5,5,5,5,FALSE,"0344_000913.wav",10942.53,10944.75
"124",5,5,5,5,FALSE,"0344_000913.wav",10945.59,10946.31
"125",5,5,5,5,FALSE,"0344_000913.wav",10947.2,10948.61
"126",5,5,5,5,FALSE,"0344_000913.wav",10960.57,10961.18
"127",5,5,5,5,FALSE,"0344_000913.wav",10962.45,10963.05
"128",5,5,5,5,FALSE,"0344_000913.wav",10968.14,10968.74
"129",2,2,2,2,FALSE,"0344_000913.wav",10972.59,10974.27
"130",2,2,2,2,FALSE,"0344_000913.wav",10976.09,10976.93
"131",2,2,2,2,FALSE,"0344_000913.wav",10978.72,10980.31
"132",2,2,2,2,FALSE,"0344_000913.wav",10982.02,10986.02
"133",2,2,2,2,FALSE,"0344_000913.wav",10986.82,10988.06
"134",2,2,2,2,FALSE,"0344_000913.wav",10991.65,10992.85
"135",4,3,2,2,FALSE,"0344_000913.wav",10993.66,10994.26
"136",2,2,2,2,FALSE,"0344_000913.wav",10997.09,11000.21
"137",1,3,2,1,TRUE,"0344_000913.wav",11001.3,11001.9
"138",1,2,1,1,TRUE,"0344_000913.wav",11002.71,11003.98
"139",2,3,2,2,FALSE,"0344_000913.wav",11005.32,11005.98
"140",1,2,1,1,TRUE,"0344_000913.wav",11007.99,11008.63
"141",1,2,1,1,TRUE,"0344_000913.wav",11018.46,11019.62
"142",1,2,2,2,FALSE,"0344_000913.wav",11025.12,11028.21
"143",1,2,2,2,FALSE,"0344_000913.wav",11030.3,11030.92
"144",1,2,2,2,FALSE,"0344_000913.wav",11031.75,11032.37
"145",1,2,1,1,TRUE,"0344_000913.wav",11033.21,11038.22
"146",2,2,2,2,FALSE,"0344_000913.wav",11039.02,11041.45
"147",2,2,2,2,FALSE,"0344_000913.wav",11046.08,11046.84
"148",2,2,2,2,FALSE,"0344_000913.wav",11064.63,11071.44
"149",2,2,2,2,FALSE,"0344_000913.wav",11083.4,11092.42
"150",2,2,2,2,FALSE,"0344_000913.wav",11093.25,11095.37
"151",3,2,2,2,FALSE,"0344_000913.wav",11101.63,11105.22
"152",2,2,2,2,FALSE,"0344_000913.wav",11112.02,11119.1
"153",2,3,2,2,FALSE,"0344_000913.wav",11120,11120.6
"154",2,2,2,2,FALSE,"0344_000913.wav",11121.95,11123.72
"155",2,2,2,2,FALSE,"0344_000913.wav",11124.52,11127.1
"156",2,2,2,2,FALSE,"0344_000913.wav",11137.44,11139
"157",2,2,2,2,FALSE,"0344_000913.wav",11139.8,11140.8
"158",2,2,2,2,FALSE,"0344_000913.wav",11141.61,11144.91
"159",2,2,1,2,FALSE,"0344_000913.wav",11145.96,11148.33
"160",2,2,1,2,FALSE,"0344_000913.wav",11149.29,11149.91
"161",3,2,1,1,TRUE,"0344_000913.wav",11150.72,11151.7
"162",5,5,5,5,FALSE,"0344_000913.wav",11182.11,11183.77
"163",5,5,5,5,FALSE,"0344_000913.wav",11191.61,11192.47
"164",2,3,2,2,FALSE,"0344_000913.wav",11269.15,11269.75
"165",2,2,2,2,FALSE,"0344_000913.wav",11278.68,11279.3
"166",3,3,2,3,FALSE,"0344_000913.wav",11280.43,11281.26
"167",2,2,2,2,FALSE,"0344_000913.wav",11284.95,11285.62
"168",2,2,1,2,FALSE,"0344_000913.wav",11287.24,11287.88
"169",2,2,2,2,FALSE,"0344_000913.wav",11290.1,11290.7
"170",2,2,1,2,FALSE,"0344_000913.wav",11293.28,11293.88
"171",2,3,2,2,FALSE,"0344_000913.wav",11297.64,11298.99
"172",4,3,2,2,FALSE,"0344_000913.wav",11306,11306.83
"173",2,2,2,2,FALSE,"0344_000913.wav",11310.24,11310.89
"174",2,3,2,2,FALSE,"0344_000913.wav",11333.51,11334.28
"175",3,3,2,3,FALSE,"0344_000913.wav",12206.15,12206.75
"176",2,2,2,2,FALSE,"0344_000913.wav",12215.88,12216.49
"177",1,2,1,1,TRUE,"0344_000913.wav",12423.17,12423.77
"178",2,2,1,2,FALSE,"0344_000913.wav",12490.86,12491.88
"179",3,3,2,3,FALSE,"0344_000913.wav",12504.25,12505.05
"180",2,3,2,2,FALSE,"0344_000913.wav",12537.38,12538.08
"181",2,2,2,2,FALSE,"0344_000913.wav",12538.88,12540.54
"182",5,2,2,2,FALSE,"0344_000913.wav",12677.67,12679.55
"183",4,3,2,2,FALSE,"0344_000913.wav",12837.73,12838.35
"184",1,2,1,1,TRUE,"0344_000913.wav",12861.07,12861.69
"185",1,2,1,1,TRUE,"0344_000913.wav",12862.56,12865.33
"186",1,1,1,1,TRUE,"0344_000913.wav",12890,12890.6
"187",1,2,2,2,FALSE,"0344_000913.wav",12983.02,12983.68
"188",2,2,2,2,FALSE,"0344_000913.wav",13246.6,13247.6
"189",2,2,2,2,FALSE,"0344_000913.wav",13247.6,13248.37
"190",2,2,2,2,FALSE,"0344_000913.wav",13249.61,13250.21
"191",1,2,2,2,FALSE,"0344_000913.wav",13261.93,13262.53
"192",2,2,2,2,FALSE,"0344_000913.wav",13264.58,13265.18
"193",1,2,1,1,TRUE,"0344_000913.wav",13266.03,13266.85
"194",2,3,2,2,FALSE,"0344_000913.wav",13321.97,13322.61
"195",1,3,2,1,TRUE,"0344_000913.wav",13323.61,13324.32
"196",2,3,2,2,FALSE,"0344_000913.wav",13325.13,13326.06
"197",5,5,5,5,FALSE,"0344_000913.wav",13376.95,13377.55
"198",1,2,2,2,FALSE,"0344_000913.wav",13612.1,13614
"199",1,2,2,2,FALSE,"0344_000913.wav",13617.57,13618.2
"200",2,2,2,2,FALSE,"0344_000913.wav",13625.18,13625.82
"201",4,3,2,2,FALSE,"0344_000913.wav",13632.02,13632.62
"202",3,2,2,2,FALSE,"0344_000913.wav",13633.42,13635.08
"203",2,2,2,2,FALSE,"0344_000913.wav",13655.21,13657.26
"204",2,2,1,2,FALSE,"0344_000913.wav",13739.25,13740.14
"205",2,2,1,2,FALSE,"0344_000913.wav",13755.54,13756.14
"206",3,3,2,3,FALSE,"0344_000913.wav",13766.65,13767.25
"207",1,2,1,1,TRUE,"0344_000913.wav",13771.07,13772.38
"208",1,2,1,1,TRUE,"0344_000913.wav",13773.18,13773.93
"209",3,2,2,2,FALSE,"0344_000913.wav",13779.78,13781.88
"210",4,2,2,2,FALSE,"0344_000913.wav",13782.76,13783.36
"211",2,2,2,2,FALSE,"0344_000913.wav",13787.02,13787.64
"212",2,2,2,2,FALSE,"0344_000913.wav",13788.62,13789.32
"213",1,2,1,1,TRUE,"0344_000913.wav",13790.4,13794.63
"214",4,4,2,4,FALSE,"0344_000913.wav",13800.8,13801.78
"215",3,3,2,3,FALSE,"0344_000913.wav",13805.28,13807.04
"216",1,2,1,1,TRUE,"0344_000913.wav",13858.55,13859.15
"217",1,2,1,1,TRUE,"0344_000913.wav",13885.76,13887.66
"218",1,2,1,1,TRUE,"0344_000913.wav",13896.34,13897.72
"219",1,2,2,2,FALSE,"0344_000913.wav",13914.58,13915.44
"220",2,2,1,2,FALSE,"0344_000913.wav",14089.51,14091.38
"221",5,5,5,5,FALSE,"0344_000913.wav",14111.32,14111.98
"222",3,3,2,3,FALSE,"0344_000913.wav",14113.92,14114.86
"223",1,2,1,1,TRUE,"0344_000913.wav",14115.66,14116.28
"224",3,3,2,3,FALSE,"0344_000913.wav",14241.06,14242.08
"225",5,5,5,5,FALSE,"0344_000913.wav",14295.28,14295.91
"226",1,2,1,1,TRUE,"0344_000913.wav",14372.11,14374.61
"227",1,1,1,1,TRUE,"0344_000913.wav",14380.82,14381.45
"228",1,1,1,1,TRUE,"0344_000913.wav",14423.6,14425.3
"229",1,2,1,1,TRUE,"0344_000913.wav",14451.86,14454.07
"230",5,5,5,5,FALSE,"0344_000913.wav",14533.73,14534.33
"231",5,5,5,5,FALSE,"0344_000913.wav",14534.33,14535.13
"232",5,5,5,5,FALSE,"0344_000913.wav",14535.13,14536.02
"233",5,5,5,5,FALSE,"0344_000913.wav",14570.83,14571.54
"234",5,5,5,5,FALSE,"0344_000913.wav",14575.25,14576.41
"235",5,5,5,5,FALSE,"0344_000913.wav",14582.26,14583.25
"236",5,5,5,5,FALSE,"0344_000913.wav",14586.81,14588.06
"237",5,5,5,5,FALSE,"0344_000913.wav",14590.68,14592.8
"238",5,5,5,5,FALSE,"0344_000913.wav",14602.71,14603.5
"239",5,4,4,4,FALSE,"0344_000913.wav",14610.74,14611.34
"240",5,5,5,5,FALSE,"0344_000913.wav",14613.51,14614.43
"241",1,2,1,1,TRUE,"0344_000913.wav",14616.15,14616.76
"242",5,5,5,5,FALSE,"0344_000913.wav",14616.76,14617.8
"243",4,4,4,4,FALSE,"0344_000913.wav",14629.42,14630.54
"244",4,4,4,4,FALSE,"0344_000913.wav",14631.65,14633.12
"245",5,5,5,5,FALSE,"0344_000913.wav",14654.4,14655.21
"246",5,5,5,5,FALSE,"0344_000913.wav",14670.87,14671.49
"247",2,3,2,2,FALSE,"0344_000913.wav",14726.24,14726.84
"248",5,5,5,5,FALSE,"0344_000913.wav",14898.47,14899.07
"249",1,2,1,1,TRUE,"0344_000913.wav",14908.83,14909.43
"250",4,3,3,3,FALSE,"0344_000913.wav",14948.21,14948.81
"251",2,2,2,2,FALSE,"0344_000913.wav",14957.16,14958.1
"252",4,4,3,4,FALSE,"0344_000913.wav",14960.59,14961.23
"253",4,3,3,3,FALSE,"0344_000913.wav",14966.77,14967.37
"254",1,2,1,1,TRUE,"0344_000913.wav",14993.59,14994.2
"255",1,2,1,1,TRUE,"0344_000913.wav",14995.01,14995.7
"256",3,3,3,3,FALSE,"0344_000913.wav",14996.72,14997.35
"257",1,2,1,1,TRUE,"0344_000913.wav",15051.89,15053.16
"258",1,2,1,1,TRUE,"0344_000913.wav",18907.04,18907.64
"259",5,5,5,5,FALSE,"0344_000913.wav",18961.91,18962.93
"260",1,1,1,1,TRUE,"0344_000913.wav",18967.01,18967.75
"261",1,2,1,1,TRUE,"0344_000913.wav",18972.01,18972.74
"262",1,1,1,1,TRUE,"0344_000913.wav",18973.63,18974.23
"263",1,1,1,1,TRUE,"0344_000913.wav",18984.41,18985.01
"264",5,5,5,5,FALSE,"0344_000913.wav",19106.76,19111.13
"265",5,5,5,5,FALSE,"0344_000913.wav",19116.81,19117.9
"266",5,5,5,5,FALSE,"0344_000913.wav",19117.9,19119.28
"267",2,2,2,2,FALSE,"0344_000913.wav",19129.25,19130.18
"268",5,5,5,5,FALSE,"0344_000913.wav",19130.98,19131.58
"269",5,5,5,5,FALSE,"0344_000913.wav",19133.9,19134.51
"270",4,2,2,2,FALSE,"0344_000913.wav",19136.26,19137.09
"271",2,3,2,2,FALSE,"0344_000913.wav",19144.3,19144.9
"272",5,5,5,5,FALSE,"0344_000913.wav",19150.78,19152.37
"273",5,5,5,5,FALSE,"0344_000913.wav",19154.25,19155.52
"274",5,5,5,5,FALSE,"0344_000913.wav",19160.31,19161.1
"275",5,5,5,5,FALSE,"0344_000913.wav",19234.25,19234.94
"276",4,3,2,2,FALSE,"0344_000913.wav",19286.72,19287.32
"277",5,5,5,5,FALSE,"0344_000913.wav",19334.48,19335.26
"278",5,5,5,5,FALSE,"0344_000913.wav",19392.2,19394.6
"279",1,2,2,2,FALSE,"0344_000913.wav",19406.46,19407.67
"280",1,2,2,2,FALSE,"0344_000913.wav",19408.49,19409.09
"281",1,1,1,1,TRUE,"0344_000913.wav",19423.88,19425.05
"282",1,1,1,1,TRUE,"0344_000913.wav",19425.85,19426.46
"283",1,1,1,1,TRUE,"0344_000913.wav",19427.28,19427.88
"284",1,2,1,1,TRUE,"0344_000913.wav",19956.4,19957
"285",2,3,2,2,FALSE,"0344_000913.wav",20971.82,20972.62
"286",3,3,2,3,FALSE,"0344_000913.wav",21004.06,21005.06
"287",2,3,2,2,FALSE,"0344_000913.wav",21005.06,21008.57
"288",2,3,2,2,FALSE,"0344_000913.wav",21034.85,21036.51
"289",2,3,2,2,FALSE,"0344_000913.wav",21061.73,21062.37
"290",1,2,1,1,TRUE,"0344_000913.wav",21064.62,21066
"291",1,2,1,1,TRUE,"0344_000913.wav",21068.22,21069.47
"292",1,2,1,1,TRUE,"0344_000913.wav",23328.33,23329.47
"293",5,5,5,5,FALSE,"0344_000913.wav",23336.04,23337.17
"294",5,5,5,5,FALSE,"0344_000913.wav",23351.84,23353.15
"295",5,5,5,5,FALSE,"0344_000913.wav",23355.31,23355.91
"296",5,5,5,5,FALSE,"0344_000913.wav",23391.89,23393.2
"297",5,5,5,5,FALSE,"0344_000913.wav",23398.54,23400.6
"298",5,5,5,5,FALSE,"0344_000913.wav",23425.35,23426.18
"299",5,5,5,5,FALSE,"0344_000913.wav",23441.89,23442.89
"300",1,2,1,1,TRUE,"0344_000913.wav",23456.81,23460.69
"301",1,2,1,1,TRUE,"0344_000913.wav",23473.34,23477.24
"302",2,3,2,2,FALSE,"0344_000913.wav",23483.9,23485.05
"303",3,3,1,3,FALSE,"0344_000913.wav",23491.32,23491.93
"304",1,2,1,1,TRUE,"0344_000913.wav",23516.82,23517.64
"305",1,2,1,1,TRUE,"0344_000913.wav",23519.55,23520.15
"306",1,2,1,1,TRUE,"0344_000913.wav",23520.95,23523.72
"307",1,2,1,1,TRUE,"0344_000913.wav",23540.66,23542.12
"308",4,3,4,4,FALSE,"0344_000913.wav",23543.72,23544.77
"309",1,2,1,1,TRUE,"0344_000913.wav",23553.25,23554
"310",2,3,2,2,FALSE,"0344_000913.wav",23555.16,23557.08
"311",4,3,3,3,FALSE,"0344_000913.wav",23559.82,23560.45
"312",1,2,1,1,TRUE,"0344_000913.wav",23613.57,23614.17
"313",1,2,1,1,TRUE,"0344_000913.wav",23668,23669.05
"314",5,5,5,5,FALSE,"0344_000913.wav",23756.07,23756.97
"315",1,2,1,1,TRUE,"0344_000913.wav",23864.49,23865.53
"316",2,3,2,2,FALSE,"0344_000913.wav",23890.18,23890.78
"317",3,3,2,3,FALSE,"0344_000913.wav",23998.53,24000.24
"318",3,3,2,3,FALSE,"0344_000913.wav",24000.24,24000.9
"319",2,3,2,2,FALSE,"0344_000913.wav",24122.78,24123.45
"320",1,2,1,1,TRUE,"0344_000913.wav",24348.95,24349.88
"321",2,2,1,2,FALSE,"0344_000913.wav",24491.84,24492.44
"322",1,2,1,1,TRUE,"0344_000913.wav",24526.42,24527.47
"323",1,1,1,1,TRUE,"0344_000913.wav",24578.28,24580.4
"324",1,2,1,1,TRUE,"0344_000913.wav",24679.53,24680.13
"325",2,2,1,2,FALSE,"0344_000913.wav",24695.94,24697.17
"326",3,2,2,2,FALSE,"0344_000913.wav",24713.7,24714.34
"327",3,2,2,2,FALSE,"0344_000913.wav",24715.14,24715.98
"328",2,2,2,2,FALSE,"0344_000913.wav",24719.37,24719.98
"329",2,2,2,2,FALSE,"0344_000913.wav",24721.27,24721.87
"330",1,2,2,2,FALSE,"0344_000913.wav",24725.63,24728
"331",2,3,2,2,FALSE,"0344_000913.wav",24729.82,24731.26
"332",1,1,1,1,TRUE,"0344_000913.wav",24763.93,24764.82
"333",1,2,1,1,TRUE,"0344_000913.wav",24766.34,24767
"334",2,2,2,2,FALSE,"0344_000913.wav",24770.51,24771.27
"335",1,2,1,1,TRUE,"0344_000913.wav",24772.07,24774.86
"336",2,2,2,2,FALSE,"0344_000913.wav",24774.86,24775.77
"337",1,2,1,1,TRUE,"0344_000913.wav",24775.77,24776.39
"338",1,2,1,1,TRUE,"0344_000913.wav",24776.39,24777.26
"339",1,2,1,1,TRUE,"0344_000913.wav",24777.26,24778.76
"340",1,2,1,1,TRUE,"0344_000913.wav",24779.56,24780.17
"341",1,2,1,1,TRUE,"0344_000913.wav",24809.22,24810.02
"342",1,2,1,1,TRUE,"0344_000913.wav",24811.64,24812.76
"343",1,2,2,2,FALSE,"0344_000913.wav",24814.26,24816.24
"344",1,2,1,1,TRUE,"0344_000913.wav",24837.54,24838.14
"345",5,5,5,5,FALSE,"0344_000913.wav",25061.11,25061.77
"346",5,5,5,5,FALSE,"0344_000913.wav",25090.51,25092.12
"347",5,5,5,5,FALSE,"0344_000913.wav",25097.41,25098.53
"348",5,5,5,5,FALSE,"0344_000913.wav",25119.59,25120.2
"349",2,2,2,2,FALSE,"0344_000913.wav",25226.2,25228.23
"350",3,2,2,2,FALSE,"0344_000913.wav",25229.73,25230.33
"351",3,2,2,2,FALSE,"0344_000913.wav",25233.37,25234.05
"352",3,3,2,3,FALSE,"0344_000913.wav",25234.98,25235.58
"353",3,2,2,2,FALSE,"0344_000913.wav",25254.94,25255.54
"354",3,2,2,2,FALSE,"0344_000913.wav",25351.67,25352.65
"355",3,3,2,3,FALSE,"0344_000913.wav",25388.16,25389.16
"356",2,2,2,2,FALSE,"0344_000913.wav",25477.24,25478.07
"357",3,3,2,3,FALSE,"0344_000913.wav",26142.46,26143.06
"358",2,2,2,2,FALSE,"0344_000913.wav",26159.84,26160.44
"359",2,3,2,2,FALSE,"0344_000913.wav",26165.17,26166.01
"360",2,2,2,2,FALSE,"0344_000913.wav",26603.61,26604.21
"361",1,2,2,2,FALSE,"0344_000913.wav",26854.48,26855.63
"362",1,2,2,2,FALSE,"0344_000913.wav",26855.63,26856.23
"363",1,2,1,1,TRUE,"0344_000913.wav",26856.23,26857.04
"364",1,2,1,1,TRUE,"0344_000913.wav",26858.38,26859.23
"365",2,3,2,2,FALSE,"0344_000913.wav",26862.04,26862.84
"366",1,2,1,1,TRUE,"0344_000913.wav",26964.59,26965.39
"367",1,2,2,2,FALSE,"0344_000913.wav",27085.18,27086.18
"368",2,3,2,2,FALSE,"0344_000913.wav",27170.37,27171.17
"369",1,2,2,2,FALSE,"0344_000913.wav",27171.17,27171.84
"370",2,2,2,2,FALSE,"0344_000913.wav",27197.05,27197.65
"371",2,2,2,2,FALSE,"0344_000913.wav",27230.15,27230.75
"372",1,2,1,1,TRUE,"0344_000913.wav",27281.73,27282.43
"373",1,2,2,2,FALSE,"0344_000913.wav",27283.43,27284.18
"374",2,2,2,2,FALSE,"0344_000913.wav",27293.72,27294.54
"375",2,2,2,2,FALSE,"0344_000913.wav",27295.9,27296.5
"376",1,2,1,1,TRUE,"0344_000913.wav",27543.72,27544.93
"377",2,2,2,2,FALSE,"0344_000913.wav",27550.1,27550.9
"378",2,3,2,2,FALSE,"0344_000913.wav",27551.87,27552.47
"379",2,2,1,2,FALSE,"0344_000913.wav",27553.84,27554.44
"380",2,3,2,2,FALSE,"0344_000913.wav",27556.89,27560.15
"381",1,2,1,1,TRUE,"0344_000913.wav",27562.89,27563.49
"382",1,2,2,2,FALSE,"0344_000913.wav",27564.29,27564.89
"383",3,3,3,3,FALSE,"0344_000913.wav",27566.19,27566.79
"384",1,2,1,1,TRUE,"0344_000913.wav",27567.6,27568.2
"385",1,2,1,1,TRUE,"0344_000913.wav",27570.97,27571.63
