"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"80","0340_000301_scrubbed.wav",994.99,995.68,1,2,1,4,2,3,1,1,2,2,2,1,1,1,1,2,1,TRUE
"81","0340_000301_scrubbed.wav",998.56,1000.35,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"82","0340_000301_scrubbed.wav",1100.98,1101.76,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,FALSE
"83","0340_000301_scrubbed.wav",1105.06,1105.66,1,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,FALSE
"84","0340_000301_scrubbed.wav",1202.78,1203.38,1,2,2,3,2,1,2,2,2,2,2,2,2,1,2,2,2,FALSE
"85","0340_000301_scrubbed.wav",1263.56,1264.16,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,TRUE
"86","0340_000301_scrubbed.wav",1270.54,1271.36,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,TRUE
"87","0340_000301_scrubbed.wav",1272.33,1273.84,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"88","0340_000301_scrubbed.wav",1274.64,1275.97,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,TRUE
"89","0340_000301_scrubbed.wav",1277.9,1279.17,1,2,2,4,1,1,1,1,2,2,2,1,1,1,1,1,1,TRUE
"90","0340_000301_scrubbed.wav",1356,1356.76,1,2,2,4,1,1,1,1,2,2,2,1,1,1,1,1,1,TRUE
"91","0340_000301_scrubbed.wav",1453.35,1454.32,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,TRUE
"92","0340_000301_scrubbed.wav",1481.95,1483.19,1,2,2,3,1,1,2,1,2,2,2,1,1,1,1,1,1,TRUE
