"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","modal_prominence","clean"
"99","0204_000609_scrubbed.wav",1208.29,1209.29,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"100","0204_000609_scrubbed.wav",1210.42,1211.02,1,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,FALSE
"101","0204_000609_scrubbed.wav",1211.02,1212.14,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"102","0204_000609_scrubbed.wav",1212.14,1212.74,1,2,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,1,TRUE
"103","0204_000609_scrubbed.wav",1213.83,1214.43,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,FALSE
"104","0204_000609_scrubbed.wav",1228.68,1230.28,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,FALSE
"105","0204_000609_scrubbed.wav",1231.87,1232.74,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"106","0204_000609_scrubbed.wav",1237.22,1237.82,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"107","0204_000609_scrubbed.wav",1239.4,1240.6,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"108","0204_000609_scrubbed.wav",1247.76,1248.59,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,FALSE
"109","0204_000609_scrubbed.wav",1256.49,1257.1,5,2,2,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,FALSE
"110","0204_000609_scrubbed.wav",1258.04,1258.65,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"111","0204_000609_scrubbed.wav",1268.86,1270.2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"112","0204_000609_scrubbed.wav",1354.69,1355.39,3,3,5,4,3,3,3,5,5,5,5,4,3,5,2,2,2,3,FALSE
"113","0204_000609_scrubbed.wav",1356.49,1357.63,2,3,5,3,2,2,2,2,5,1,3,4,3,2,2,1,2,2,FALSE
"114","0204_000609_scrubbed.wav",1395.99,1396.59,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"115","0204_000609_scrubbed.wav",1416.96,1417.56,4,2,2,3,1,1,3,2,2,1,4,4,2,1,1,5,1,1,TRUE
"116","0204_000609_scrubbed.wav",1529.89,1531.12,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,TRUE
"117","0204_000609_scrubbed.wav",1608.08,1608.88,5,4,3,5,4,5,4,5,4,5,5,5,5,2,1,5,2,5,FALSE
"118","0204_000609_scrubbed.wav",1618,1618.88,2,3,2,4,4,2,3,2,2,1,4,3,2,2,2,1,2,2,FALSE
"119","0204_000609_scrubbed.wav",1629.48,1630.81,1,2,2,1,2,2,2,1,5,1,3,2,2,2,1,1,2,2,FALSE
"120","0204_000609_scrubbed.wav",1631.68,1632.28,1,2,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,TRUE
"121","0204_000609_scrubbed.wav",1659.05,1659.65,1,3,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,TRUE
"122","0204_000609_scrubbed.wav",1679.46,1682.12,1,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,2,FALSE
"123","0204_000609_scrubbed.wav",1683.09,1683.71,1,2,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,TRUE
"124","0204_000609_scrubbed.wav",1685.35,1686.13,1,2,2,1,1,1,1,1,2,1,2,3,2,1,1,1,1,1,TRUE
"125","0204_000609_scrubbed.wav",1709.9,1710.65,1,2,2,1,1,1,2,1,2,1,2,2,2,1,2,1,1,1,TRUE
"126","0204_000609_scrubbed.wav",1770.68,1771.28,1,2,2,1,1,2,2,2,2,1,2,3,2,1,1,1,1,1,TRUE
