"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_1_targetChildProminence","ukqu_1_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"57","0054_000603_scrubbed.wav",1587.98,1588.58,2,2,1,2,1,2,2,2,2,2,3,2,2,1,2,2,1,1,2,2,FALSE
"58","0054_000603_scrubbed.wav",1590.36,1591.01,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,TRUE
"59","0054_000603_scrubbed.wav",1591.81,1592.41,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,TRUE
"60","0054_000603_scrubbed.wav",1593.57,1594.22,1,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,TRUE
"61","0054_000603_scrubbed.wav",1597.4,1598.07,1,1,1,2,1,1,2,2,2,1,3,2,2,1,2,2,1,1,2,1,TRUE
"62","0054_000603_scrubbed.wav",1601.64,1603.38,1,2,1,2,1,1,2,1,2,1,2,2,2,1,1,2,1,1,2,1,TRUE
"63","0054_000603_scrubbed.wav",1603.38,1604.19,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,FALSE
"64","0054_000603_scrubbed.wav",1604.19,1604.92,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,FALSE
"65","0054_000603_scrubbed.wav",1607.91,1610.2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,FALSE
"66","0054_000603_scrubbed.wav",1611.08,1612.5,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,TRUE
