"","wav_filename","segments_filename","relabels_filename","listenerID","listen_pass","babyID","babyAge"
"47","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_jvfs_1.csv","jvfs",1,"0437",548
"48","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_jvfs_1.csv","jvfs",1,"0204",189
"49","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_jvfs_1.csv","jvfs",1,"0340",91
"50","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_jvfs_2.csv","jvfs",2,"0344",283
"51","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_jvfs_2.csv","jvfs",2,"0857",91
"52","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_kfav_2.csv","kfav",1,"0340",91
"53","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_kfav_1.csv","kfav",1,"0204",189
"54","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_kfav_1.csv","kfav",1,"0054",183
"55","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_kfav_2.csv","kfav",1,"0857",91
"56","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_kfav_1.csv","kfav",1,"0300",187
"57","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_kfav_1.csv","kfav",1,"0196",272
"58","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_kfav_2.csv","kfav",1,"0274",81
"59","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_kfav_3.csv","kfav",1,"0833",551
"60","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_lant_1.csv","lant",1,"0274",81
"61","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_lant_1.csv","lant",1,"0196",272
"62","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_lant_1.csv","lant",1,"0054",183
"63","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_lant_1.csv","lant",1,"0857",91
"64","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_lant_1.csv","lant",1,"0344",283
"65","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_lant_1.csv","lant",1,"0437",548
"66","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_lant_1.csv","lant",1,"0340",91
"67","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_lant_1.csv","lant",1,"0204",189
"68","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_lant_1.csv","lant",1,"0300",187
"69","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_lant_1.csv","lant",1,"0833",551
"70","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_lant_2.csv","lant",2,"0437",548
"71","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_lant_2.csv","lant",2,"0274",81
"72","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_lant_2.csv","lant",2,"0340",91
"73","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_lant_2.csv","lant",2,"0833",551
"74","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_lant_2.csv","lant",2,"0857",91
"75","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_lant_2.csv","lant",2,"0300",187
"76","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_lant_2.csv","lant",2,"0344",283
"77","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_lant_2.csv","lant",2,"0204",189
"78","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_lant_2.csv","lant",2,"0196",272
"79","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_lant_2.csv","lant",2,"0054",183
"80","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_lplf_2.csv","lplf",1,"0340",91
"81","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_lplf_1.csv","lplf",1,"0204",189
"82","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_lplf_1.csv","lplf",1,"0054",183
"83","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_lskw_1.csv","lskw",1,"0857",91
"84","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_lskw_1.csv","lskw",1,"0274",81
"85","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_lskw_1.csv","lskw",1,"0437",548
"86","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_lskw_1.csv","lskw",1,"0340",91
"87","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_lskw_1.csv","lskw",1,"0054",183
"88","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_lskw_1.csv","lskw",1,"0196",272
"89","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_lskw_1.csv","lskw",1,"0204",189
"90","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_lskw_1.csv","lskw",1,"0833",551
"91","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_lskw_1.csv","lskw",1,"0300",187
"92","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_lskw_1.csv","lskw",1,"0344",283
"93","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_lyur_1.csv","lyur",1,"0344",283
"94","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_lyur_1.csv","lyur",1,"0857",91
"95","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_mrkf_1.csv","mrkf",1,"0204",189
"96","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_mrkf_1.csv","mrkf",1,"0196",272
"97","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_mrkf_1.csv","mrkf",1,"0833",551
"98","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_mrkf_1.csv","mrkf",1,"0054",183
"99","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_mrkf_1.csv","mrkf",1,"0344",283
"100","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_mrkf_1.csv","mrkf",1,"0437",548
"101","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_mrkf_1.csv","mrkf",1,"0300",187
"102","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_pdav_1.csv","pdav",1,"0054",183
"103","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_pdav_1.csv","pdav",1,"0857",91
"104","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_pdav_1.csv","pdav",1,"0204",189
"105","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_pdav_1.csv","pdav",1,"0274",81
"106","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_pdav_1.csv","pdav",1,"0196",272
