"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"319",2,1,2,1,1,TRUE
"320",1,2,2,1,1,TRUE
"321",2,2,2,1,2,FALSE
"322",2,2,2,2,2,FALSE
"323",1,2,2,1,1,TRUE
"324",1,2,2,1,1,TRUE
"325",2,2,2,1,2,FALSE
"326",3,2,2,2,2,FALSE
"327",2,1,3,1,1,TRUE
"328",2,2,2,2,2,FALSE
"329",2,2,2,2,2,FALSE
"330",2,1,2,1,1,TRUE
"331",3,2,2,1,2,FALSE
"332",2,1,2,1,1,TRUE
"333",1,1,2,1,1,TRUE
"334",2,1,2,2,2,FALSE
"335",1,1,2,1,1,TRUE
"336",1,1,2,1,1,TRUE
"337",1,1,2,1,1,TRUE
"338",1,1,2,1,1,TRUE
"339",2,1,2,1,1,TRUE
"340",2,1,2,1,1,TRUE
"341",2,1,2,1,1,TRUE
"342",1,1,1,1,1,TRUE
"343",1,1,2,1,1,TRUE
"344",1,1,2,1,1,TRUE
"345",2,1,2,1,1,TRUE
"346",1,1,2,1,1,TRUE
"347",2,1,2,1,1,TRUE
"348",2,2,3,2,2,FALSE
"349",1,1,1,1,1,TRUE
"350",1,1,1,1,1,TRUE
"351",1,1,2,1,1,TRUE
"352",1,1,2,1,1,TRUE
"353",2,1,2,1,1,TRUE
"354",1,1,1,1,1,TRUE
"355",1,1,2,1,1,TRUE
"356",2,1,2,1,1,TRUE
"357",1,1,2,1,1,TRUE
"358",1,1,2,1,1,TRUE
"359",1,1,1,1,1,TRUE
"360",1,1,1,1,1,TRUE
"361",1,1,1,1,1,TRUE
"362",1,1,1,1,1,TRUE
"363",1,1,1,1,1,TRUE
"364",1,1,2,1,1,TRUE
"365",2,1,2,1,1,TRUE
"366",1,1,2,1,1,TRUE
"367",2,1,2,1,1,TRUE
"368",2,1,2,1,1,TRUE
"369",2,1,2,2,2,FALSE
"370",1,1,2,1,1,TRUE
"371",1,1,2,1,1,TRUE
"372",1,1,2,1,1,TRUE
"373",1,1,2,1,1,TRUE
"374",1,1,2,1,1,TRUE
"375",1,1,2,2,1,TRUE
"376",1,1,2,1,1,TRUE
"377",2,1,2,1,1,TRUE
