"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1293","0196_000902_scrubbed.wav",33490.5,33491.8,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,FALSE
"1294","0196_000902_scrubbed.wav",33497.37,33497.97,5,3,5,5,5,5,3,5,5,5,5,5,5,1,5,5,3,FALSE
"1295","0196_000902_scrubbed.wav",33627.86,33628.46,2,2,2,2,2,3,2,2,3,4,2,2,2,1,2,3,2,FALSE
"1296","0196_000902_scrubbed.wav",33645.32,33645.99,5,2,2,2,5,3,2,2,2,4,2,5,5,1,5,3,2,FALSE
"1297","0196_000902_scrubbed.wav",33721.94,33722.95,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,3,FALSE
"1298","0196_000902_scrubbed.wav",33732.75,33733.35,1,2,2,2,2,3,2,2,1,4,2,2,2,1,2,3,2,FALSE
"1299","0196_000902_scrubbed.wav",33748.27,33748.87,5,4,5,3,5,5,5,5,5,4,2,5,5,5,5,5,5,FALSE
"1300","0196_000902_scrubbed.wav",33760.05,33760.65,1,2,2,2,2,2,2,2,1,3,2,2,2,1,2,3,2,FALSE
"1301","0196_000902_scrubbed.wav",33770.26,33771.4,4,3,4,4,5,4,3,4,2,4,2,4,4,5,4,4,4,FALSE
"1302","0196_000902_scrubbed.wav",33842.5,33843.1,1,2,2,3,2,3,2,2,2,3,2,2,2,5,2,3,2,FALSE
"1303","0196_000902_scrubbed.wav",33886.93,33887.66,2,2,2,3,2,3,2,2,3,3,2,2,3,5,2,2,2,FALSE
"1304","0196_000902_scrubbed.wav",33893.53,33894.13,2,3,2,2,2,3,2,2,4,3,2,2,3,2,2,4,2,FALSE
"1305","0196_000902_scrubbed.wav",33952.05,33952.65,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,FALSE
"1306","0196_000902_scrubbed.wav",33972.26,33973.26,2,3,2,3,3,3,3,2,3,3,2,2,2,2,2,3,2,FALSE
"1307","0196_000902_scrubbed.wav",34030.82,34031.42,2,2,2,2,2,3,2,2,4,2,2,2,2,1,2,3,2,FALSE
"1308","0196_000902_scrubbed.wav",34036.05,34037.18,2,2,3,3,3,3,3,2,4,3,2,2,3,1,2,3,3,FALSE
"1309","0196_000902_scrubbed.wav",34044.66,34045.26,2,2,2,3,3,3,2,2,4,3,2,2,2,2,2,3,2,FALSE
"1310","0196_000902_scrubbed.wav",34046.67,34047.27,2,2,2,3,2,3,2,2,3,3,2,2,2,1,2,3,2,FALSE
"1311","0196_000902_scrubbed.wav",34101.95,34102.55,1,2,2,2,2,3,2,2,2,3,2,2,2,1,2,3,2,FALSE
"1312","0196_000902_scrubbed.wav",34112.25,34112.85,2,2,2,2,2,3,2,2,3,2,2,2,2,1,2,2,2,FALSE
"1313","0196_000902_scrubbed.wav",34119.94,34120.55,2,2,2,3,2,3,2,2,2,2,2,2,2,1,2,3,2,FALSE
"1314","0196_000902_scrubbed.wav",34145.58,34146.72,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"1315","0196_000902_scrubbed.wav",34181.95,34182.55,2,2,2,3,2,3,2,2,3,2,2,2,2,1,2,3,2,FALSE
"1316","0196_000902_scrubbed.wav",34192.16,34192.76,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,FALSE
"1317","0196_000902_scrubbed.wav",34213.08,34213.82,2,2,2,3,3,3,2,2,3,2,2,2,2,1,2,2,2,FALSE
"1318","0196_000902_scrubbed.wav",34217.81,34218.93,2,2,2,3,2,3,2,2,3,3,2,2,2,1,2,2,2,FALSE
"1319","0196_000902_scrubbed.wav",34222.68,34223.6,2,2,2,3,2,3,2,2,3,3,2,2,2,1,2,2,2,FALSE
"1320","0196_000902_scrubbed.wav",34260.43,34261.03,5,2,2,3,5,5,5,5,5,5,5,5,5,1,5,5,4,FALSE
"1321","0196_000902_scrubbed.wav",34287.7,34288.3,5,2,5,3,5,5,2,5,5,5,5,5,5,5,5,5,4,FALSE
"1322","0196_000902_scrubbed.wav",34336.22,34336.82,5,5,5,5,5,5,2,5,5,5,5,5,5,1,5,5,3,FALSE
"1323","0196_000902_scrubbed.wav",34340.33,34341.06,5,5,5,5,5,5,3,5,5,5,5,5,3,1,5,5,3,FALSE
"1324","0196_000902_scrubbed.wav",34460.11,34460.71,4,3,3,4,4,5,4,4,4,4,2,4,4,1,4,4,4,FALSE
"1325","0196_000902_scrubbed.wav",34612.76,34613.43,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,FALSE
"1326","0196_000902_scrubbed.wav",34635.17,34637.12,3,3,2,5,2,3,3,2,3,3,3,3,3,1,2,4,3,FALSE
"1327","0196_000902_scrubbed.wav",34640.12,34640.72,1,2,2,5,2,3,2,2,2,4,2,2,2,1,2,3,2,FALSE
