"","recording","startSeconds","endSeconds","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_1_targetChildProminence","modal_prominence","clean"
"138","0437_010603_scrubbed.wav",5103.99,5105.25,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,FALSE
"139","0437_010603_scrubbed.wav",5108,5108.81,2,2,2,1,1,2,1,2,2,2,1,1,1,1,2,FALSE
"140","0437_010603_scrubbed.wav",5109.81,5110.63,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"141","0437_010603_scrubbed.wav",5111.47,5113.07,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"142","0437_010603_scrubbed.wav",5115.47,5116.07,2,2,2,2,2,2,1,3,2,2,1,2,1,1,2,FALSE
"143","0437_010603_scrubbed.wav",5117.63,5118.42,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,FALSE
"144","0437_010603_scrubbed.wav",5120.69,5121.29,2,3,3,3,2,2,1,3,2,2,1,2,1,2,2,FALSE
"145","0437_010603_scrubbed.wav",5146.7,5147.3,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"146","0437_010603_scrubbed.wav",5148.1,5148.7,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"147","0437_010603_scrubbed.wav",5149.71,5150.35,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,FALSE
"148","0437_010603_scrubbed.wav",5151.35,5152.32,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,FALSE
"149","0437_010603_scrubbed.wav",5155.46,5156.06,2,2,3,1,3,3,1,3,3,2,1,2,1,2,2,FALSE
"150","0437_010603_scrubbed.wav",5164.92,5165.56,2,2,3,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"151","0437_010603_scrubbed.wav",5166.4,5167.55,2,2,2,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
"152","0437_010603_scrubbed.wav",5176.04,5177.38,2,2,2,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
"153","0437_010603_scrubbed.wav",5184.12,5185.54,2,2,3,1,2,2,1,2,2,2,1,1,1,1,2,FALSE
"154","0437_010603_scrubbed.wav",5185.54,5186.68,2,2,2,1,2,2,1,3,2,2,1,2,1,2,2,FALSE
"155","0437_010603_scrubbed.wav",5200.01,5200.96,2,2,2,1,2,2,1,3,2,2,1,1,1,3,2,FALSE
"156","0437_010603_scrubbed.wav",5203.17,5204.59,2,2,3,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
"157","0437_010603_scrubbed.wav",5214.21,5215.61,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"158","0437_010603_scrubbed.wav",5219.48,5221.91,2,2,2,1,2,2,1,3,2,2,1,2,1,1,2,FALSE
"159","0437_010603_scrubbed.wav",5223.85,5224.45,2,2,1,1,2,2,1,3,3,2,1,1,1,1,1,TRUE
"160","0437_010603_scrubbed.wav",5225.25,5226.07,2,2,2,1,2,2,1,2,3,2,1,2,1,1,2,FALSE
"161","0437_010603_scrubbed.wav",5226.89,5228.08,2,2,2,2,2,2,1,2,3,2,1,2,1,1,2,FALSE
"162","0437_010603_scrubbed.wav",5230.15,5230.75,2,2,2,1,2,2,1,3,2,2,1,2,1,2,2,FALSE
"163","0437_010603_scrubbed.wav",5238.06,5239.06,3,2,3,2,4,3,2,2,2,2,2,2,1,3,2,FALSE
"164","0437_010603_scrubbed.wav",5239.06,5239.96,2,1,2,1,1,1,1,3,2,2,1,1,1,1,1,TRUE
"165","0437_010603_scrubbed.wav",5240.96,5243.33,1,2,2,1,2,2,1,3,2,2,2,2,1,2,2,FALSE
"166","0437_010603_scrubbed.wav",5245.79,5252.89,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,FALSE
"167","0437_010603_scrubbed.wav",5255.92,5256.52,3,3,2,2,3,2,2,2,4,2,2,2,1,3,2,FALSE
"168","0437_010603_scrubbed.wav",5260.05,5260.95,3,2,3,2,2,3,1,2,2,2,2,2,1,2,2,FALSE
"169","0437_010603_scrubbed.wav",5271.28,5272.56,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,TRUE
"170","0437_010603_scrubbed.wav",5273.56,5274.54,2,2,2,2,2,2,1,3,2,2,1,1,1,2,2,FALSE
"171","0437_010603_scrubbed.wav",5275.56,5276.17,3,3,3,2,2,2,2,2,3,2,2,2,1,3,2,FALSE
"172","0437_010603_scrubbed.wav",5290.39,5292.95,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,FALSE
"173","0437_010603_scrubbed.wav",5297.11,5297.71,3,5,5,5,4,5,4,2,3,2,5,5,1,5,5,FALSE
"174","0437_010603_scrubbed.wav",5303.03,5303.63,5,5,5,5,5,5,5,2,4,2,5,5,1,5,5,FALSE
"175","0437_010603_scrubbed.wav",5312.49,5313.23,2,3,2,1,2,2,1,2,2,2,1,1,1,2,2,FALSE
"176","0437_010603_scrubbed.wav",5314.98,5316.39,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"177","0437_010603_scrubbed.wav",5318.01,5318.64,3,4,4,4,4,4,4,2,5,2,3,3,1,4,4,FALSE
"178","0437_010603_scrubbed.wav",5319.56,5320.34,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,FALSE
"179","0437_010603_scrubbed.wav",5321.14,5321.74,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"180","0437_010603_scrubbed.wav",5323.31,5323.91,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,FALSE
"181","0437_010603_scrubbed.wav",5356.17,5357.52,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,FALSE
"182","0437_010603_scrubbed.wav",5361.27,5361.87,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"183","0437_010603_scrubbed.wav",5370.14,5374.13,2,5,5,5,2,2,1,2,5,2,2,2,1,5,2,FALSE
"184","0437_010603_scrubbed.wav",5380.69,5382.19,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,FALSE
"185","0437_010603_scrubbed.wav",5386.35,5387.81,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"186","0437_010603_scrubbed.wav",5392.35,5392.95,2,2,3,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"187","0437_010603_scrubbed.wav",5395.69,5396.33,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"188","0437_010603_scrubbed.wav",5399.48,5400.16,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"189","0437_010603_scrubbed.wav",5401.54,5402.22,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"190","0437_010603_scrubbed.wav",5415.58,5416.38,2,2,3,3,2,2,1,3,2,2,2,2,1,2,2,FALSE
"191","0437_010603_scrubbed.wav",5418.88,5419.48,2,3,3,3,2,3,1,3,3,2,2,2,1,2,2,FALSE
"192","0437_010603_scrubbed.wav",5420.74,5421.47,2,3,3,2,3,3,1,2,3,2,1,2,1,2,2,FALSE
"193","0437_010603_scrubbed.wav",5425.79,5426.4,2,3,3,2,2,3,1,2,3,2,2,2,1,2,2,FALSE
"194","0437_010603_scrubbed.wav",5427.26,5428.19,2,2,3,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
