"","recording","startSeconds","endSeconds","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_2_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","lyur_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"64","0344_000913.wav",9785.47,9786.18,2,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,3,FALSE
"65","0344_000913.wav",9786.18,9787.29,2,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,3,FALSE
"66","0344_000913.wav",9787.29,9787.91,2,3,2,2,3,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"67","0344_000913.wav",9806.65,9807.62,2,1,1,1,2,2,1,1,3,2,2,1,2,1,1,1,2,FALSE
"68","0344_000913.wav",9807.62,9808.75,2,2,2,1,2,2,2,1,3,2,2,1,2,1,1,1,3,FALSE
"69","0344_000913.wav",9808.75,9809.35,2,2,2,2,2,2,1,1,3,2,2,1,2,1,1,2,3,FALSE
"70","0344_000913.wav",9818.6,9819.83,2,1,1,1,2,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"71","0344_000913.wav",9947.57,9948.17,5,5,5,5,5,5,5,5,3,5,5,5,2,4,5,5,5,FALSE
"72","0344_000913.wav",9950.94,9951.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"73","0344_000913.wav",9965.6,9966.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"74","0344_000913.wav",9968.16,9968.76,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"75","0344_000913.wav",9969.69,9970.35,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"76","0344_000913.wav",9971.15,9973.14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"77","0344_000913.wav",9973.98,9974.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"78","0344_000913.wav",10027.06,10027.7,4,5,5,5,5,2,5,5,5,5,3,5,5,2,5,5,5,FALSE
"79","0344_000913.wav",10113.27,10114.88,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"80","0344_000913.wav",10123.23,10124.07,3,3,5,3,3,2,3,5,5,2,2,2,2,1,5,2,3,FALSE
"81","0344_000913.wav",10479.11,10480.29,2,2,2,2,2,2,1,2,3,2,2,1,2,1,1,2,3,FALSE
"82","0344_000913.wav",10489.57,10490.84,2,2,3,2,2,2,2,2,3,3,2,1,2,1,2,2,3,FALSE
"83","0344_000913.wav",10491.64,10492.6,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"84","0344_000913.wav",10495.43,10496.29,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"85","0344_000913.wav",10501.94,10502.75,2,2,2,2,2,2,1,2,3,2,2,1,2,1,2,2,3,FALSE
"86","0344_000913.wav",10503.55,10505.66,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"87","0344_000913.wav",10510.43,10513.15,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"88","0344_000913.wav",10542.88,10544.13,2,2,3,3,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"89","0344_000913.wav",10544.93,10545.53,2,1,2,2,2,2,1,2,3,2,2,1,2,1,2,2,3,FALSE
"90","0344_000913.wav",10546.33,10546.93,2,2,2,2,2,2,2,2,3,2,2,1,1,1,2,2,3,FALSE
"91","0344_000913.wav",10570.35,10571.03,1,1,1,1,2,2,2,1,3,2,2,1,1,1,1,1,2,FALSE
"92","0344_000913.wav",10571.83,10572.43,2,2,2,2,2,2,2,1,3,2,2,2,2,1,1,2,3,FALSE
"93","0344_000913.wav",10575.03,10575.89,1,1,1,1,2,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"94","0344_000913.wav",10576.69,10577.29,1,1,2,2,2,2,1,1,3,2,2,1,1,1,2,1,2,FALSE
"95","0344_000913.wav",10578.12,10578.73,2,1,1,2,2,2,2,1,3,2,2,1,2,1,2,2,3,FALSE
"96","0344_000913.wav",10593.75,10594.89,2,3,2,2,3,2,3,2,3,2,2,2,2,1,2,2,3,FALSE
"97","0344_000913.wav",10596.06,10596.71,2,2,2,2,2,2,2,2,3,2,2,2,1,1,2,2,3,FALSE
"98","0344_000913.wav",10597.51,10599.9,2,1,1,1,1,2,1,1,3,2,2,1,1,1,1,1,2,FALSE
"99","0344_000913.wav",10601.16,10603.29,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"100","0344_000913.wav",10604.09,10604.69,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,3,2,FALSE
"101","0344_000913.wav",10610.28,10614.82,2,3,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"102","0344_000913.wav",10615.62,10617.03,2,3,3,1,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"103","0344_000913.wav",10618.09,10618.7,2,3,3,3,3,2,2,2,3,2,2,2,2,1,3,2,3,FALSE
"104","0344_000913.wav",10623.56,10628.71,2,3,3,2,2,2,2,2,3,2,2,2,2,1,3,2,3,FALSE
"105","0344_000913.wav",10630.33,10631.29,2,2,3,2,2,2,2,2,3,2,2,2,2,1,3,2,3,FALSE
"106","0344_000913.wav",10666.29,10667.03,2,2,3,2,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"107","0344_000913.wav",10667.03,10667.83,2,2,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"108","0344_000913.wav",10667.83,10668.43,2,1,3,1,1,2,1,2,3,2,2,1,1,1,1,2,2,FALSE
"109","0344_000913.wav",10670.53,10674.11,2,2,3,2,2,2,2,1,3,2,2,1,2,1,2,2,3,FALSE
"110","0344_000913.wav",10677.9,10679.24,2,3,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"111","0344_000913.wav",10728.43,10729.37,2,4,5,5,2,5,4,1,4,4,3,2,5,5,5,2,6,FALSE
"112","0344_000913.wav",10734.58,10735.18,2,3,4,2,2,2,2,1,3,2,2,1,2,1,2,2,3,FALSE
"113","0344_000913.wav",10807.91,10808.51,2,4,3,2,3,2,3,2,3,3,2,2,3,2,4,4,2,FALSE
"114","0344_000913.wav",10812.42,10813.56,2,1,2,2,2,2,2,1,3,3,2,1,1,1,2,2,3,FALSE
"115","0344_000913.wav",10815.23,10815.83,2,1,1,2,2,2,1,1,3,2,2,1,1,1,2,2,3,FALSE
"116","0344_000913.wav",10821.63,10823.23,2,1,1,1,2,2,1,1,3,2,2,1,1,1,2,2,2,FALSE
"117","0344_000913.wav",10854.55,10855.18,2,1,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"118","0344_000913.wav",10856.28,10856.91,3,3,4,3,3,2,2,2,3,2,2,2,2,1,3,3,3,FALSE
"119","0344_000913.wav",10877.99,10878.62,2,3,3,3,2,2,3,2,3,2,2,2,2,1,2,3,3,FALSE
"120","0344_000913.wav",10879.42,10881.28,2,3,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"121","0344_000913.wav",10886.27,10886.87,4,5,5,5,5,2,5,5,5,5,2,5,5,1,5,5,5,FALSE
"122","0344_000913.wav",10887.71,10889.46,5,5,5,5,5,2,5,5,5,5,2,5,5,5,5,5,3,FALSE
"123","0344_000913.wav",10942.53,10944.75,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,3,FALSE
"124","0344_000913.wav",10945.59,10946.31,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,3,FALSE
"125","0344_000913.wav",10947.2,10948.61,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,3,FALSE
"126","0344_000913.wav",10960.57,10961.18,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,3,FALSE
"127","0344_000913.wav",10962.45,10963.05,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"128","0344_000913.wav",10968.14,10968.74,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"129","0344_000913.wav",10972.59,10974.27,3,4,3,2,2,2,3,3,3,2,2,2,2,2,2,4,2,FALSE
"130","0344_000913.wav",10976.09,10976.93,2,2,3,2,2,2,2,1,3,2,2,2,2,1,2,3,3,FALSE
"131","0344_000913.wav",10978.72,10980.31,2,3,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"132","0344_000913.wav",10982.02,10986.02,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"133","0344_000913.wav",10986.82,10988.06,2,3,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"134","0344_000913.wav",10991.65,10992.85,3,3,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"135","0344_000913.wav",10993.66,10994.26,4,4,5,4,3,4,3,2,3,2,2,2,2,5,5,5,2,FALSE
"136","0344_000913.wav",10997.09,11000.21,2,3,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"137","0344_000913.wav",11001.3,11001.9,3,1,2,1,3,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"138","0344_000913.wav",11002.71,11003.98,2,1,2,1,2,2,1,2,3,2,2,1,2,1,1,2,3,FALSE
"139","0344_000913.wav",11005.32,11005.98,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,3,2,FALSE
"140","0344_000913.wav",11007.99,11008.63,2,2,3,1,2,2,1,2,3,2,2,1,1,1,2,2,3,FALSE
"141","0344_000913.wav",11018.46,11019.62,2,2,2,1,2,2,2,2,3,2,2,1,1,1,2,2,3,FALSE
"142","0344_000913.wav",11025.12,11028.21,2,2,2,1,2,2,2,2,3,2,2,2,1,1,2,2,3,FALSE
"143","0344_000913.wav",11030.3,11030.92,2,2,2,1,2,2,2,2,3,2,2,2,1,1,2,2,3,FALSE
"144","0344_000913.wav",11031.75,11032.37,2,2,2,1,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"145","0344_000913.wav",11033.21,11038.22,2,1,2,1,2,2,1,2,3,2,2,1,2,1,2,2,3,FALSE
"146","0344_000913.wav",11039.02,11041.45,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"147","0344_000913.wav",11046.08,11046.84,2,2,2,2,2,2,2,2,3,2,2,2,1,1,2,2,3,FALSE
"148","0344_000913.wav",11064.63,11071.44,2,3,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"149","0344_000913.wav",11083.4,11092.42,2,3,2,2,2,2,1,2,3,2,2,2,2,1,2,2,3,FALSE
"150","0344_000913.wav",11093.25,11095.37,2,4,3,2,2,2,2,2,3,2,2,2,2,1,2,3,3,FALSE
"151","0344_000913.wav",11101.63,11105.22,2,3,3,3,2,2,2,2,3,2,2,2,2,1,3,3,3,FALSE
"152","0344_000913.wav",11112.02,11119.1,3,3,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"153","0344_000913.wav",11120,11120.6,2,2,3,2,3,2,2,2,3,2,2,2,2,1,2,3,3,FALSE
"154","0344_000913.wav",11121.95,11123.72,3,3,3,2,2,2,2,3,3,2,2,2,2,1,3,4,3,FALSE
"155","0344_000913.wav",11124.52,11127.1,3,3,3,2,2,2,1,2,3,2,2,2,2,1,2,3,3,FALSE
"156","0344_000913.wav",11137.44,11139,3,3,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"157","0344_000913.wav",11139.8,11140.8,2,3,3,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"158","0344_000913.wav",11141.61,11144.91,3,2,3,2,2,2,1,2,3,2,2,2,2,1,2,2,3,FALSE
"159","0344_000913.wav",11145.96,11148.33,2,2,2,2,2,2,1,2,3,2,2,1,2,1,2,2,3,FALSE
"160","0344_000913.wav",11149.29,11149.91,2,2,3,2,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"161","0344_000913.wav",11150.72,11151.7,2,1,3,3,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"162","0344_000913.wav",11182.11,11183.77,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,FALSE
"163","0344_000913.wav",11191.61,11192.47,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,FALSE
"164","0344_000913.wav",11269.15,11269.75,4,2,3,2,3,2,3,3,4,3,2,2,2,1,2,4,3,FALSE
"165","0344_000913.wav",11278.68,11279.3,2,2,2,2,2,2,2,3,3,2,2,2,2,1,2,2,3,FALSE
"166","0344_000913.wav",11280.43,11281.26,3,3,3,3,3,2,3,2,3,2,2,2,2,2,2,3,2,FALSE
"167","0344_000913.wav",11284.95,11285.62,2,3,3,2,2,2,3,2,3,2,2,2,2,1,2,3,3,FALSE
"168","0344_000913.wav",11287.24,11287.88,2,3,3,2,2,2,2,2,3,2,2,1,2,2,2,2,3,FALSE
"169","0344_000913.wav",11290.1,11290.7,2,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,FALSE
"170","0344_000913.wav",11293.28,11293.88,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"171","0344_000913.wav",11297.64,11298.99,2,3,2,2,3,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"172","0344_000913.wav",11306,11306.83,2,4,3,4,3,2,4,1,3,3,3,2,2,1,2,2,3,FALSE
"173","0344_000913.wav",11310.24,11310.89,2,2,2,2,2,2,1,1,3,2,2,2,2,1,2,2,3,FALSE
"174","0344_000913.wav",11333.51,11334.28,2,2,3,2,3,2,2,1,3,2,2,2,2,2,2,2,3,FALSE
"175","0344_000913.wav",12206.15,12206.75,2,2,1,3,3,2,3,1,3,3,2,2,3,1,2,2,3,FALSE
"176","0344_000913.wav",12215.88,12216.49,3,3,2,2,2,2,2,1,3,2,2,2,3,2,2,2,3,FALSE
