"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","modal_prominence","clean"
"71","0833_010606.wav",1208.4,1209.15,2,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,1,TRUE
"72","0833_010606.wav",1214.07,1214.67,1,2,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,TRUE
"73","0833_010606.wav",1227.16,1227.76,1,2,1,1,1,1,2,1,1,3,2,2,1,1,1,1,1,TRUE
"74","0833_010606.wav",1231.15,1231.81,1,2,1,1,1,2,2,1,1,3,2,2,1,2,1,1,1,TRUE
"75","0833_010606.wav",1233.53,1234.13,1,2,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1,TRUE
"76","0833_010606.wav",1237.16,1238.53,1,2,1,1,1,2,2,1,1,3,2,2,1,1,1,1,1,TRUE
"77","0833_010606.wav",1240.16,1240.92,1,2,2,2,2,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
"78","0833_010606.wav",1245.63,1246.23,1,2,2,2,2,3,2,2,1,3,2,2,1,2,1,2,2,FALSE
"79","0833_010606.wav",1248.23,1248.87,1,2,2,2,2,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
"80","0833_010606.wav",1264.53,1266.48,1,2,2,1,2,2,2,2,1,3,2,2,2,2,1,1,2,FALSE
"81","0833_010606.wav",1274.68,1275.32,1,2,2,1,2,1,2,2,1,2,2,2,1,2,1,1,1,TRUE
"82","0833_010606.wav",1276.24,1276.84,1,2,5,5,1,1,5,5,1,2,2,2,5,1,1,5,1,TRUE
"83","0833_010606.wav",1277.64,1278.31,1,2,1,2,2,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"84","0833_010606.wav",1280.52,1281.13,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,TRUE
"85","0833_010606.wav",1284.93,1285.53,1,2,1,1,1,2,2,2,1,3,2,2,1,2,1,1,1,TRUE
"86","0833_010606.wav",1289.05,1290.24,1,2,2,3,2,2,2,2,1,2,2,2,1,1,1,1,2,FALSE
"87","0833_010606.wav",1296.58,1297.69,1,2,3,2,2,3,2,2,1,2,2,2,2,2,1,2,2,FALSE
"88","0833_010606.wav",1341.4,1343.13,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,TRUE
"89","0833_010606.wav",1372.3,1372.91,1,2,4,3,2,3,2,2,1,2,2,2,2,3,1,2,2,FALSE
"90","0833_010606.wav",1386.06,1386.66,1,2,1,1,1,1,2,2,1,3,2,2,1,2,1,1,1,TRUE
"91","0833_010606.wav",1389.55,1390.41,1,2,1,2,2,2,2,2,1,3,2,2,1,2,1,1,2,FALSE
"92","0833_010606.wav",1391.26,1391.86,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,FALSE
"93","0833_010606.wav",1392.69,1393.49,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,FALSE
"94","0833_010606.wav",1395.33,1397.04,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"95","0833_010606.wav",1399.37,1399.97,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,FALSE
"96","0833_010606.wav",1450.54,1451.93,1,2,1,2,2,2,2,2,1,3,2,2,2,1,1,2,2,FALSE
"97","0833_010606.wav",1451.93,1452.93,1,2,3,3,3,3,3,2,3,3,2,2,3,3,1,3,3,FALSE
"98","0833_010606.wav",1464.87,1466.12,1,2,1,3,2,2,2,2,3,2,2,2,1,2,1,2,2,FALSE
"99","0833_010606.wav",1467.36,1468.2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,1,TRUE
"100","0833_010606.wav",1472.74,1473.47,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,TRUE
"101","0833_010606.wav",1474.27,1475.85,2,3,3,3,3,2,2,2,3,2,2,2,2,3,1,2,2,FALSE
"102","0833_010606.wav",1537.84,1538.44,1,2,3,2,3,3,3,2,3,2,2,2,2,3,1,2,2,FALSE
"103","0833_010606.wav",1546.3,1546.9,1,3,3,3,4,3,2,2,3,2,2,2,2,2,1,3,2,FALSE
"104","0833_010606.wav",1578.5,1579.1,2,3,3,2,2,3,3,2,3,2,2,2,2,2,1,2,2,FALSE
"105","0833_010606.wav",1579.1,1580.15,4,3,3,3,2,3,3,2,3,2,2,2,3,2,1,3,3,FALSE
"106","0833_010606.wav",1597.59,1598.19,2,2,2,2,2,2,2,2,3,2,2,2,1,2,1,2,2,FALSE
"107","0833_010606.wav",1607.92,1608.55,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"108","0833_010606.wav",1640.22,1640.82,2,2,2,2,3,2,2,2,3,2,2,2,2,2,1,2,2,FALSE
"109","0833_010606.wav",1647.29,1647.89,2,2,3,2,3,2,2,2,3,2,3,2,2,2,1,2,2,FALSE
"110","0833_010606.wav",1655.45,1656.22,2,2,3,2,2,2,2,2,3,2,2,2,2,2,1,2,2,FALSE
"111","0833_010606.wav",1662.39,1662.99,2,2,2,3,3,3,3,2,3,2,3,2,2,3,1,2,2,FALSE
"112","0833_010606.wav",1673.99,1674.68,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,TRUE
"113","0833_010606.wav",1676.25,1677.07,2,2,1,1,2,1,2,2,1,3,2,2,1,1,1,1,1,TRUE
"114","0833_010606.wav",1678.51,1681.17,2,1,1,1,1,1,1,2,1,3,2,2,1,1,1,1,1,TRUE
"115","0833_010606.wav",1682.2,1682.8,2,1,1,1,1,1,1,2,1,3,2,2,1,1,1,1,1,TRUE
"116","0833_010606.wav",1683.61,1684.21,4,1,1,5,1,2,2,2,1,3,3,2,1,1,1,1,1,TRUE
"117","0833_010606.wav",1685.01,1685.61,4,2,2,4,4,3,4,2,1,2,4,2,5,2,1,1,2,FALSE
"118","0833_010606.wav",1691.89,1692.51,1,2,1,1,1,1,2,2,1,3,2,2,1,2,1,1,1,TRUE
"119","0833_010606.wav",1709.09,1710.58,1,2,1,5,1,1,2,2,1,3,2,2,1,2,1,1,1,TRUE
"120","0833_010606.wav",1746.49,1747.14,1,2,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,FALSE
"121","0833_010606.wav",1763.15,1763.75,2,2,2,3,2,3,2,2,3,3,2,2,2,2,1,2,2,FALSE
"122","0833_010606.wav",1787.76,1788.45,2,2,3,3,2,2,2,2,3,2,2,2,2,3,1,2,2,FALSE
"123","0833_010606.wav",1796.2,1798.86,2,2,2,2,3,2,3,2,3,2,2,3,2,3,1,2,2,FALSE
"124","0833_010606.wav",1802.53,1803.13,3,2,2,2,2,1,2,2,2,2,2,2,2,3,1,1,2,FALSE
"125","0833_010606.wav",1807.21,1807.87,3,3,2,3,3,3,3,2,3,3,2,3,3,3,1,2,3,FALSE
"126","0833_010606.wav",1811.74,1812.63,1,2,2,3,2,2,2,2,2,3,2,3,2,2,1,2,2,FALSE
"127","0833_010606.wav",1812.63,1814.79,5,4,4,5,5,5,5,3,5,2,5,5,5,2,1,5,5,FALSE
"128","0833_010606.wav",1817.43,1818.03,3,2,4,2,2,3,2,2,3,2,2,2,2,2,1,2,2,FALSE
"129","0833_010606.wav",1824.01,1824.61,2,2,2,3,2,3,2,2,2,2,3,2,2,2,1,2,2,FALSE
"130","0833_010606.wav",1826.02,1826.65,2,2,3,2,3,2,2,2,2,3,3,2,2,2,1,2,2,FALSE
"131","0833_010606.wav",1842.34,1843,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"132","0833_010606.wav",1843.93,1845.06,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,FALSE
"133","0833_010606.wav",1848.03,1848.91,2,2,2,3,2,3,3,2,3,2,2,2,2,3,1,2,2,FALSE
"134","0833_010606.wav",1850.71,1851.57,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,FALSE
"135","0833_010606.wav",1853.88,1854.82,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"136","0833_010606.wav",1859.39,1859.99,2,2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,TRUE
"137","0833_010606.wav",1861.3,1862.12,1,1,2,1,1,1,2,2,1,2,2,2,1,2,1,1,1,TRUE
"138","0833_010606.wav",1863.79,1864.39,1,1,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"139","0833_010606.wav",1869.17,1869.93,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"140","0833_010606.wav",1873.77,1874.49,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,TRUE
"141","0833_010606.wav",1883.1,1883.7,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"142","0833_010606.wav",1891.44,1892.08,1,1,1,2,2,1,2,2,1,2,2,2,1,2,1,1,1,TRUE
